id,canonical_name,primary_category,secondary_category,vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000
surface_hard_surface_avg,"walls, hard surfaces average (brick walls, plaster, hard floors, etc.)",Floor,hard_masonry_reflective,floor,hard_masonry_reflective,reflective,0.0333,0.0467,pyroom,hard_surface,0.02,0.02,0.03,0.03,0.04,0.05,0.05
wall_brickwork,"walls, rendered brickwork",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.0267,0.0367,pyroom,brickwork,0.01,0.02,0.02,0.03,0.03,0.04,0.04
wall_rough_concrete,rough concrete,Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.0333,0.06,pyroom,rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07,0.07
wall_unpainted_concrete,smooth unpainted concrete,Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.02,0.04,pyroom,unpainted_concrete,0.01,0.01,0.02,0.02,0.02,0.05,0.05
wall_rough_lime_wash,rough lime wash,Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.0433,0.03,pyroom,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,0.02
wall_smooth_brickwork_flush_pointing,"smooth brickwork with flush pointing, painted",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.02,0.02,pyroom,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,0.02
wall_smooth_brickwork_10mm_pointing,"smooth brickwork, 10 mm deep pointing, pit sand mortar",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,semi_reflective,0.1667,0.2333,pyroom,smooth_brickwork_10mm_pointing,0.08,0.09,0.12,0.16,0.22,0.24,0.24
wall_brick_wall_rough,"brick wall, stuccoed with a rough finish",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.04,0.0633,pyroom,brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07,0.07
surface_ceramic_tiles,ceramic tiles with a smooth surface,Special Object,hard_masonry_reflective,appliance_metal_ceramic,hard_masonry_reflective,reflective,0.0167,0.02,pyroom,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,0.02
wall_limestone_wall,limestone walls,Wall,hard_masonry_reflective,wall,hard_masonry_reflective,reflective,0.04,0.05,pyroom,limestone_wall,0.02,0.02,0.03,0.04,0.05,0.05,0.05
wall_reverb_chamber,reverberation chamber walls,Wall,misc_unknown,wall,misc_unknown,reflective,0.0167,0.0333,pyroom,reverb_chamber,0.01,0.01,0.01,0.02,0.02,0.04,0.04
floor_concrete_floor,concrete floor,Floor,hard_masonry_reflective,floor,hard_masonry_reflective,reflective,0.03,0.02,pyroom,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,0.02
floor_marble_floor,marble floor,Floor,hard_masonry_reflective,floor,hard_masonry_reflective,reflective,0.0167,0.02,pyroom,marble_floor,0.01,0.01,0.01,0.02,0.02,0.02,0.02
wall_plasterboard,"2 * 13 mm plasterboard on steel frame, 50 mm mineral wool in cavity, surface painted",Wall,thin_panel_resonant,wall,thin_panel_resonant,reflective,0.0467,0.0467,pyroom,plasterboard,0.15,0.1,0.06,0.04,0.04,0.05,0.05
wall_wooden_lining,"wooden lining, 12 mm fixed on frame",Wall,wood_panel,wall,wood_panel,semi_reflective,0.1567,0.0767,pyroom,wooden_lining,0.27,0.23,0.22,0.15,0.1,0.07,0.06
window_door_glass_3mm,"single pane of glass, 3 mm",Door & Window,glass_reflective,window_glass,glass_reflective,reflective,0.0267,0.02,pyroom,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,0.02
window_door_glass_window,"glass window, 0.68 kg/m2",Door & Window,glass_reflective,window_glass,glass_reflective,reflective,0.0333,0.03,pyroom,glass_window,0.1,0.05,0.04,0.03,0.03,0.03,0.03
window_door_lead_glazing,lead glazing,Door & Window,glass_reflective,window_glass,glass_reflective,reflective,0.0967,0.05,pyroom,lead_glazing,0.3,0.2,0.14,0.1,0.05,0.05,0.0
window_door_double_glazing_30mm,"double glazing, 2–3 mm glass, > 30 mm gap",Door & Window,glass_reflective,window_glass,glass_reflective,reflective,0.0267,0.02,pyroom,double_glazing_30mm,0.15,0.05,0.03,0.03,0.02,0.02,0.02
window_door_double_glazing_10mm,"double glazing, 2–3 mm glass, 10 mm gap",Door & Window,glass_reflective,window_glass,glass_reflective,reflective,0.0333,0.02,pyroom,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,0.02
window_door_double_glazing_inside,"double glazing, lead on the inside",Door & Window,glass_reflective,window_glass,glass_reflective,semi_reflective,0.11,0.05,pyroom,double_glazing_inside,0.15,0.3,0.18,0.1,0.05,0.05,0.0
hard_object_wood_1.6cm,"wood, 1.6 cm thick, on 4 cm wooden planks",Furniture,wood_panel,hard_furniture,wood_panel,reflective,0.09,0.0733,pyroom,wood_1.6cm,0.18,0.12,0.1,0.09,0.08,0.07,0.07
hard_object_plywood_thin,thin plywood panelling,Furniture,wood_panel,hard_furniture,wood_panel,reflective,0.08,0.06,pyroom,plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06,0.0
hard_object_wood_16mm,16 mm wood on 40 mm studs,Furniture,wood_panel,hard_furniture,wood_panel,reflective,0.09,0.0733,pyroom,wood_16mm,0.18,0.12,0.1,0.09,0.08,0.07,0.07
audience_floor,"audience floor, 2 layers, 33 mm on sleepers over concrete",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,reflective,0.05,0.045,pyroom,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,0.0
floor_stage_floor,"wood, stage floor, 2 layers, 27 mm over airspace",Floor,wood_panel,floor,wood_panel,reflective,0.06,0.06,pyroom,stage_floor,0.1,0.07,0.06,0.06,0.06,0.06,0.0
wooden_door,solid wooden door,Door & Window,wood_panel,door_panel,wood_panel,reflective,0.08,0.1,pyroom,wooden_door,0.14,0.1,0.06,0.08,0.1,0.1,0.1
floor_linoleum_on_concrete,"linoleum, asphalt, rubber, or cork tile on concrete",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.03,0.025,pyroom,linoleum_on_concrete,0.02,0.03,0.03,0.03,0.03,0.02,0.0
carpet_cotton,cotton carpet,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,highly_absorptive,0.6533,0.56,pyroom,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,0.48
carpet_tufted_9.5mm,"loop pile tufted carpet, 1.4 kg/m2, 9.5 mm pile height: On hair pad, 3.0 kg/m2",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,highly_absorptive,0.65,0.755,pyroom,carpet_tufted_9.5mm,0.1,0.4,0.62,0.7,0.63,0.88,0.0
carpet_thin,"thin carpet, cemented to concrete",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.21,0.375,pyroom,carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4,0.0
carpet_6mm_closed_cell_foam,6 mm pile carpet bonded to closed-cell foam underlay,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.2967,0.4033,pyroom,carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44,0.44
carpet_6mm_open_cell_foam,6 mm pile carpet bonded to open-cell foam underlay,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.48,0.7133,pyroom,carpet_6mm_open_cell_foam,0.03,0.09,0.2,0.54,0.7,0.72,0.72
carpet_tufted_9m,9 mm tufted pile carpet on felt underlay,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.55,0.7833,pyroom,carpet_tufted_9m,0.08,0.08,0.3,0.6,0.75,0.8,0.8
floor_felt_5mm,needle felt 5 mm stuck to concrete,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.1667,0.3667,pyroom,felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4,0.4
carpet_soft_10mm,10 mm soft carpet on concrete,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.2467,0.32,pyroom,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,0.0
carpet_hairy,hairy carpet on 3 mm felt,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.3567,0.2567,pyroom,carpet_hairy,0.11,0.14,0.37,0.43,0.27,0.25,0.25
carpet_rubber_5mm,5 mm rubber carpet on concrete,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.1,0.1,pyroom,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,0.0
carpet_1.35_kg_m2,"carpet 1.35 kg/m2, on hair felt or foam rubber",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,highly_absorptive,0.6567,0.72,pyroom,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,0.0
floor_cocos_fibre_roll_29mm,"cocos fibre roll felt, 29 mm thick (unstressed), reverse side clad with paper, 2.2 kg/m2, 2 Rayl",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.3467,0.52,pyroom,cocos_fibre_roll_29mm,0.1,0.13,0.22,0.35,0.47,0.57,0.0
