floorplan_idx,room_count,area_m2,scenario,target_room,interferer_room,noise_room,estimated_room,room_correct,localization_error_m,doa_error_deg,architecture,pipeline,physical_microphones,reference_channel,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,input_pesq,output_pesq,pesq_improvement,input_stoi,output_stoi,stoi_improvement,output_dry_pesq,output_dry_stoi,output_dry_si_sdr_db,processing_s,rtf
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,single,single_raw,1,3,1.1986,1.1986,0.0,1.1617,1.1617,0.0,1.07665,1.07665,0.0,0.64223,0.64223,0.0,1.02707,0.58575,-7.1487,0.0,0.0
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,single,single_wiener,1,3,1.1986,3.6133,2.4147,1.1617,2.6562,1.4946,1.07665,1.03029,-0.04636,0.64223,0.59668,-0.04556,1.02367,0.52568,-6.304,0.011563,0.00492
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_weighted_ds,5,3,1.1986,2.7034,1.5049,1.1617,2.4301,1.2684,1.07665,1.09642,0.01978,0.64223,0.70054,0.0583,1.03225,0.58457,-8.4684,0.008328,0.003544
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mvdr,5,3,1.1986,21.6184,20.4198,1.1617,5.3107,4.149,1.07665,2.31148,1.23483,0.64223,0.94257,0.30034,1.07401,0.7423,-7.5101,0.013489,0.00574
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mwf,5,3,1.1986,18.7224,17.5239,1.1617,16.3245,15.1628,1.07665,2.1817,1.10506,0.64223,0.93833,0.2961,1.08242,0.73804,-4.8312,0.013321,0.005669
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mvdr,5,3,1.1986,18.9286,17.73,1.1617,5.069,3.9073,1.07665,1.9338,0.85716,0.64223,0.91105,0.26882,1.07296,0.7487,-7.1031,0.232647,0.098999
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mwf,5,3,1.1986,17.7288,16.5302,1.1617,12.6645,11.5028,1.07665,1.96473,0.88808,0.64223,0.91361,0.27137,1.08836,0.75919,-4.2548,0.232192,0.098805
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpd,5,3,1.1986,10.9023,9.7037,1.1617,5.3611,4.1994,1.07665,1.27379,0.19715,0.64223,0.80072,0.15849,1.03964,0.69085,-7.5396,0.047645,0.020274
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_ds,4,0,-0.3783,-0.1436,0.2347,-0.5832,-1.0741,-0.4909,1.05253,1.06153,0.00899,0.55989,0.58849,0.0286,1.02566,0.55313,-7.9948,0.006877,0.002927
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mvdr,4,0,-0.3783,11.9846,12.3628,-0.5832,6.2671,6.8503,1.05253,1.4326,0.38007,0.55989,0.85804,0.29815,1.05153,0.69764,-4.5406,0.011449,0.004872
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mwf,4,0,-0.3783,16.2829,16.6612,-0.5832,13.3075,13.8907,1.05253,1.90968,0.85715,0.55989,0.88482,0.32493,1.07426,0.70297,-4.4462,0.011199,0.004766
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpe_mvdr,4,0,-0.3783,10.7156,11.0938,-0.5832,5.2504,5.8336,1.05253,1.33381,0.28127,0.55989,0.80648,0.24659,1.04879,0.7197,-3.6636,0.08565,0.036447
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpe_mwf,4,0,-0.3783,14.5451,14.9233,-0.5832,9.3378,9.921,1.05253,1.66419,0.61166,0.55989,0.82834,0.26845,1.06612,0.72334,-3.9178,0.085977,0.036586
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpd,4,0,-0.3783,2.7255,3.1038,-0.5832,1.1682,1.7514,1.05253,1.07129,0.01875,0.55989,0.72592,0.16603,1.02777,0.64287,-5.9489,0.040147,0.017084
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,single,single_raw,1,3,9.8924,9.8924,0.0,9.8631,9.8631,0.0,1.34154,1.34154,0.0,0.82807,0.82807,0.0,1.05192,0.67815,-4.7437,0.0,0.0
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,single,single_wiener,1,3,9.8924,12.6668,2.7744,9.8631,11.3034,1.4403,1.34154,1.30077,-0.04077,0.82807,0.81249,-0.01558,1.05434,0.66253,-4.507,0.01185,0.005043
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_weighted_ds,5,3,9.8924,12.8511,2.9587,9.8631,11.6488,1.7857,1.34154,1.57465,0.23311,0.82807,0.89074,0.06267,1.06273,0.69356,-5.315,0.007732,0.00329
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mvdr,5,3,9.8924,27.2732,17.3809,9.8631,9.5756,-0.2875,1.34154,3.41039,2.06885,0.82807,0.97209,0.14402,1.07439,0.71799,-7.4407,0.013145,0.005593
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mwf,5,3,9.8924,24.3267,14.4343,9.8631,21.1533,11.2902,1.34154,3.09349,1.75195,0.82807,0.98181,0.15374,1.08849,0.7559,-4.5352,0.013036,0.005547
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mvdr,5,3,9.8924,25.9219,16.0296,9.8631,9.4058,-0.4573,1.34154,3.09864,1.7571,0.82807,0.96572,0.13765,1.09302,0.73404,-6.8239,0.234365,0.09973
