architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
distributed_singles,distributed_mvdr,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,12.26024,12.3676,-3.50739,-3.5892,0.05853,0.05547,0.83468,0.86679,0.73687,0.61539,2.23821,2.15086,0.00721,0.00738,0.94933,0.7724,-10.61393,-11.0714,0.6287,0.62804,1.05153,1.04448
distributed_singles,distributed_mwf,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,10.79011,11.28715,8.403,8.391,0.15114,0.1562,0.92729,0.94355,0.99565,1.01017,2.49699,2.4982,0.00725,0.00746,0.94933,0.7724,-7.64921,-9.0772,0.6677,0.65379,1.05824,1.05454
distributed_singles,distributed_weighted_ds,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,2.25041,2.3279,-0.78561,-0.1826,0.00997,0.01439,0.78611,0.79394,0.07818,0.0911,1.57952,1.39528,0.00424,0.00403,0.94933,0.7724,-9.77716,-10.77685,0.60555,0.6133,1.04922,1.03931
distributed_singles,distributed_wpd,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,1.87506,3.51455,-8.61819,-8.5619,-0.18289,-0.17789,0.59326,0.57105,-0.24533,-0.06399,1.25601,1.19728,0.02603,0.02719,0.94933,0.7724,-12.67922,-12.8844,0.56158,0.55371,1.03897,1.0368
distributed_singles,distributed_wpe_mvdr,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,11.1297,11.4837,-3.84033,-3.5453,0.04863,0.04383,0.82478,0.85723,0.57446,0.46809,2.0758,1.96171,0.14458,0.15666,0.94933,0.7724,-10.33685,-10.69695,0.63893,0.63553,1.08197,1.04612
distributed_singles,distributed_wpe_mwf,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,10.15174,10.85155,4.53104,5.95895,0.1343,0.14473,0.91044,0.92376,0.82645,0.83241,2.32779,2.30211,0.14467,0.15663,0.94933,0.7724,-7.25488,-8.7395,0.68246,0.66601,1.05934,1.05322
local_array_4ch,local_ds,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,1.12941,1.0684,0.7874,0.68245,0.09819,0.09745,0.65584,0.65685,0.01311,0.01219,1.0806,1.07993,0.00267,0.00275,,,-7.50099,-7.5936,0.58917,0.57951,1.02698,1.02643
local_array_4ch,local_mvdr,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,12.32014,12.40735,8.87596,8.4871,0.34472,0.36669,0.90237,0.92633,0.76743,0.70927,1.83491,1.76992,0.00449,0.00445,,,-4.89342,-4.6963,0.68855,0.68437,1.04784,1.04774
local_array_4ch,local_mwf,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,18.59518,18.8659,15.01625,15.82825,0.35418,0.37484,0.91183,0.93417,1.36212,1.36316,2.4296,2.4334,0.00458,0.00457,,,-4.46331,-4.5271,0.69255,0.68486,1.0577,1.05472
local_array_4ch,local_wpd,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,6.9892,7.12205,5.31331,5.3072,0.26973,0.27701,0.82738,0.8417,0.17214,0.14793,1.23962,1.21056,0.01655,0.01637,,,-4.93458,-5.1074,0.67943,0.68242,1.03635,1.03568
local_array_4ch,local_wpe_mvdr,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,11.92703,12.3575,7.06556,6.7938,0.29053,0.30625,0.84817,0.86713,0.5607,0.55676,1.62818,1.6358,0.03641,0.03638,,,-3.84113,-3.87195,0.71348,0.71583,1.05438,1.0518
local_array_4ch,local_wpe_mwf,50,1.0,-0.26699,-0.2874,-0.24536,-0.17515,0.55765,0.55726,1.06749,1.06647,15.97537,16.77785,9.7995,10.1114,0.29434,0.30672,0.85199,0.86899,0.9075,0.95188,1.97498,2.02895,0.03647,0.03653,,,-3.54292,-3.8413,0.71398,0.7121,1.06129,1.0566
single,single_raw,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,0.0,0.0,0.0,0.0,0.0,0.0,0.77615,0.78675,0.0,0.0,1.50134,1.28003,0.0,0.0,0.94933,0.7724,-8.54292,-9.3824,0.60568,0.60746,1.04236,1.03706
single,single_wiener,50,0.96,8.36223,7.63205,8.3678,7.7011,0.77615,0.78675,1.50134,1.28003,2.58123,2.64585,1.20096,1.1928,-0.01982,-0.01949,0.75632,0.76886,-0.03808,-0.07783,1.46325,1.16098,0.00439,0.0042,0.94933,0.7724,-8.06459,-9.08875,0.57954,0.58232,1.03713,1.03507
