room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
10,distributed_singles,distributed_mvdr,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,11.18626,11.82015,-6.27603,-5.24475,0.02059,0.01222,0.80726,0.83809,0.55424,0.51777,1.99692,2.00548,0.00735,0.00736,0.79912,0.77965,-9.94994,-10.4803,0.62996,0.62633,1.05381,1.04895
10,distributed_singles,distributed_mwf,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,11.05106,12.01245,8.77651,9.38055,0.14302,0.16335,0.92969,0.94646,1.0848,1.17466,2.52748,2.5119,0.00744,0.00734,0.79912,0.77965,-6.70928,-7.04455,0.68347,0.67456,1.06181,1.05457
10,distributed_singles,distributed_weighted_ds,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,0.984,1.09565,-2.52547,-0.77905,-0.03284,-0.01507,0.75382,0.75844,-0.00816,0.06103,1.43452,1.31217,0.00398,0.00396,0.79912,0.77965,-9.86792,-10.2608,0.59646,0.61979,1.03773,1.03743
10,distributed_singles,distributed_wpd,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,-1.10882,-0.09415,-11.65572,-11.84795,-0.29744,-0.33709,0.48922,0.48309,-0.31898,-0.17602,1.12369,1.10397,0.0276,0.02753,0.79912,0.77965,-13.37658,-13.0169,0.52921,0.5316,1.03385,1.03377
10,distributed_singles,distributed_wpe_mvdr,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,9.99506,10.89435,-6.19008,-5.04175,0.01131,-0.00188,0.79798,0.8276,0.41491,0.35386,1.85758,1.89017,0.16036,0.15994,0.79912,0.77965,-9.93465,-10.5744,0.63146,0.62328,1.04888,1.04828
10,distributed_singles,distributed_wpe_mwf,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,10.40352,11.4669,4.88354,7.0291,0.12703,0.14839,0.91369,0.93154,0.90618,0.92141,2.34885,2.30211,0.16058,0.15991,0.79912,0.77965,-6.24863,-6.53565,0.69867,0.68341,1.06801,1.05817
10,local_array_4ch,local_ds,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,1.0166,0.9961,0.67331,0.66885,0.09658,0.10382,0.66146,0.67846,0.01151,0.01112,1.08711,1.08923,0.00241,0.00237,,,-7.87347,-7.5619,0.58404,0.58102,1.02644,1.02627
10,local_array_4ch,local_mvdr,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,11.48909,12.3354,7.55984,7.595,0.32052,0.35576,0.8854,0.92633,0.68229,0.69217,1.75789,1.77801,0.00412,0.00414,,,-5.88306,-5.28595,0.66232,0.6526,1.04295,1.0418
10,local_array_4ch,local_mwf,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,17.58593,18.87385,13.90652,15.84735,0.33046,0.36446,0.89534,0.93997,1.30835,1.40074,2.38395,2.48513,0.00426,0.0042,,,-5.51786,-4.9814,0.6719,0.66192,1.05166,1.05044
10,local_array_4ch,local_wpd,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,6.65747,7.2606,4.98104,5.50995,0.25527,0.28934,0.82015,0.86157,0.16609,0.16343,1.24169,1.23931,0.01598,0.01601,,,-5.80724,-5.3914,0.65577,0.64891,1.03606,1.03504
