scenario,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
cross_room,distributed_singles,distributed_mvdr,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,9.4955,9.2626,-7.08318,-6.2739,0.00815,0.00013,0.88436,0.89795,0.70503,0.55385,2.56162,2.57637,0.00719,0.00732,0.94957,0.7724,-10.45718,-11.0353,0.63099,0.63603,1.05052,1.04716
cross_room,distributed_singles,distributed_mwf,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,7.95329,7.3753,5.84323,5.0918,0.0802,0.06793,0.95642,0.96183,1.02257,1.00989,2.87916,2.89426,0.0072,0.00747,0.94957,0.7724,-7.60481,-8.5232,0.66935,0.65145,1.05715,1.0532
cross_room,distributed_singles,distributed_weighted_ds,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,1.55683,1.9687,-2.77758,-0.8673,-0.00831,0.00405,0.8679,0.87464,0.06984,0.12442,1.92642,1.84466,0.00435,0.00402,0.94957,0.7724,-9.17961,-10.3523,0.63794,0.6373,1.04953,1.04411
cross_room,distributed_singles,distributed_wpd,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,-2.98328,-2.3263,-13.88382,-12.3412,-0.27766,-0.24312,0.59855,0.56658,-0.59666,-0.5415,1.25992,1.19699,0.02583,0.02715,0.94957,0.7724,-12.63866,-12.7619,0.56836,0.55439,1.03938,1.03624
cross_room,distributed_singles,distributed_wpe_mvdr,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,8.64885,8.3014,-7.50951,-6.4293,0.00248,-0.01394,0.87869,0.8952,0.55568,0.37809,2.41226,2.50284,0.14475,0.15862,0.94957,0.7724,-10.14469,-10.6832,0.65126,0.65243,1.05182,1.04933
cross_room,distributed_singles,distributed_wpe_mwf,25,0.96,13.53697,13.2624,13.52723,13.2012,0.87621,0.88412,1.85658,1.68697,7.42811,7.0773,0.82771,1.2138,0.06602,0.05599,0.94223,0.94455,0.83445,0.83825,2.69103,2.70669,0.14491,0.15853,0.94957,0.7724,-7.18749,-8.1707,0.68656,0.66513,1.05909,1.05238
cross_room,local_array_4ch,local_ds,25,1.0,-0.21947,-0.2642,-0.17704,-0.1265,0.557,0.5536,1.06782,1.06874,1.1023,0.8655,0.76112,0.6525,0.09704,0.09588,0.65404,0.65471,0.01344,0.01221,1.08126,1.08069,0.00267,0.00251,,,-7.43367,-7.5306,0.58818,0.57759,1.02726,1.02628
cross_room,local_array_4ch,local_mvdr,25,1.0,-0.21947,-0.2642,-0.17704,-0.1265,0.557,0.5536,1.06782,1.06874,11.59007,12.3551,8.5932,8.0734,0.33152,0.36453,0.88852,0.90986,0.63299,0.56763,1.70081,1.63842,0.00446,0.00447,,,-5.02537,-4.5886,0.68346,0.68543,1.04582,1.04258
cross_room,local_array_4ch,local_mwf,25,1.0,-0.21947,-0.2642,-0.17704,-0.1265,0.557,0.5536,1.06782,1.06874,17.57455,17.9298,14.29958,15.4299,0.34353,0.3725,0.90053,0.91545,1.25476,1.19932,2.32258,2.25097,0.00451,0.00446,,,-4.55094,-4.5354,0.68883,0.68533,1.05633,1.05462
cross_room,local_array_4ch,local_wpd,25,1.0,-0.21947,-0.2642,-0.17704,-0.1265,0.557,0.5536,1.06782,1.06874,6.90931,6.441,5.25228,4.6778,0.26282,0.25845,0.81982,0.82357,0.16028,0.08724,1.2281,1.15841,0.01648,0.0164,,,-5.00053,-4.9733,0.6722,0.67846,1.03579,1.03492
