floorplan_idx,room_count,area_m2,scenario,target_room,interferer_room,noise_room,estimated_room,room_correct,localization_error_m,doa_error_deg,architecture,pipeline,physical_microphones,reference_channel,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,input_pesq,output_pesq,pesq_improvement,input_stoi,output_stoi,stoi_improvement,output_dry_pesq,output_dry_stoi,output_dry_si_sdr_db,processing_s,rtf
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,single,single_raw,1,3,1.1434,1.1434,0.0,1.1162,1.1162,0.0,1.08566,1.08566,0.0,0.62953,0.62953,0.0,1.02966,0.58536,-7.2888,0.0,0.0
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,single,single_wiener,1,3,1.1434,3.5671,2.4237,1.1162,2.5806,1.4645,1.08566,1.03218,-0.05348,0.62953,0.58748,-0.04205,1.02317,0.52721,-6.4042,0.011718,0.004986
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_weighted_ds,5,3,1.1434,2.7164,1.573,1.1162,2.444,1.3278,1.08566,1.10977,0.02411,0.62953,0.69213,0.0626,1.03166,0.58244,-8.6614,0.008087,0.003441
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mvdr,5,3,1.1434,22.179,21.0357,1.1162,5.254,4.1379,1.08566,2.68394,1.59828,0.62953,0.94624,0.31671,1.06911,0.74191,-7.729,0.013357,0.005684
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mwf,5,3,1.1434,18.9814,17.8381,1.1162,16.4863,15.3701,1.08566,2.46081,1.37514,0.62953,0.94024,0.31071,1.076,0.73545,-4.9784,0.013559,0.00577
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mvdr,5,3,1.1434,19.4363,18.2929,1.1162,5.0261,3.91,1.08566,2.12288,1.03722,0.62953,0.91872,0.28919,1.06943,0.75231,-7.2055,0.238426,0.101458
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mwf,5,3,1.1434,17.9984,16.855,1.1162,12.9497,11.8335,1.08566,2.16571,1.08005,0.62953,0.91653,0.287,1.08177,0.7597,-4.4025,0.238346,0.101424
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpd,5,3,1.1434,11.0736,9.9302,1.1162,4.1878,3.0716,1.08566,1.30596,0.2203,0.62953,0.79328,0.16375,1.03784,0.68733,-7.8327,0.046797,0.019914
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_ds,4,0,-0.3795,-0.1507,0.2288,-0.5826,-1.0802,-0.4976,1.05899,1.06717,0.00817,0.55106,0.58048,0.02942,1.02537,0.5523,-8.0777,0.006983,0.002972
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mvdr,4,0,-0.3795,12.7603,13.1398,-0.5826,6.5866,7.1692,1.05899,1.57517,0.51618,0.55106,0.87153,0.32047,1.05432,0.69987,-4.554,0.01125,0.004787
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mwf,4,0,-0.3795,16.7493,17.1289,-0.5826,13.8553,14.4379,1.05899,2.0873,1.02831,0.55106,0.89003,0.33897,1.05966,0.70024,-4.5079,0.012342,0.005252
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpe_mvdr,4,0,-0.3795,11.3455,11.725,-0.5826,5.408,5.9906,1.05899,1.42223,0.36323,0.55106,0.81307,0.26201,1.04708,0.71814,-3.569,0.089108,0.037918
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpe_mwf,4,0,-0.3795,14.8602,15.2397,-0.5826,9.4456,10.0282,1.05899,1.78973,0.73073,0.55106,0.83086,0.2798,1.06112,0.71847,-3.9594,0.089161,0.037941
12178,4,14.5189,same_room,living_0,living_0,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_wpd,4,0,-0.3795,2.8871,3.2666,-0.5826,1.2066,1.7892,1.05899,1.07892,0.01992,0.55106,0.71475,0.16369,1.02685,0.63618,-5.8445,0.038907,0.016556
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,single,single_raw,1,3,9.6925,9.6925,0.0,9.6627,9.6627,0.0,1.39517,1.39517,0.0,0.8185,0.8185,0.0,1.04612,0.67619,-4.9035,0.0,0.0
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,single,single_wiener,1,3,9.6925,12.6403,2.9478,9.6627,11.1829,1.5202,1.39517,1.33595,-0.05922,0.8185,0.80501,-0.01349,1.05119,0.65955,-4.6312,0.011467,0.00488
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_weighted_ds,5,3,9.6925,12.5484,2.8558,9.6627,11.4199,1.7572,1.39517,1.63077,0.2356,0.8185,0.88817,0.06967,1.05598,0.68981,-5.5577,0.00834,0.003549
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mvdr,5,3,9.6925,28.5093,18.8167,9.6627,8.9704,-0.6923,1.39517,3.74261,2.34744,0.8185,0.97381,0.15532,1.07854,0.71612,-7.7623,0.012903,0.005491
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_mwf,5,3,9.6925,25.0154,15.3228,9.6627,21.6897,12.027,1.39517,3.38511,1.98994,0.8185,0.98578,0.16729,1.09998,0.75236,-4.6606,0.013655,0.00581
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mvdr,5,3,9.6925,26.4313,16.7388,9.6627,8.5986,-1.0641,1.39517,3.30661,1.91144,0.8185,0.96536,0.14686,1.07464,0.73037,-7.2941,0.236869,0.100795
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpe_mwf,5,3,9.6925,23.9461,14.2536,9.6627,15.1725,5.5098,1.39517,3.1394,1.74423,0.8185,0.97208,0.15358,1.09052,0.76999,-4.0581,0.236964,0.100836
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,,distributed_singles,distributed_wpd,5,3,9.6925,11.6269,1.9344,9.6627,-0.2791,-9.9418,1.39517,1.19819,-0.19698,0.8185,0.73967,-0.07883,1.03109,0.67764,-10.257,0.050004,0.021278
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_ds,4,3,-0.3854,0.1646,0.55,-0.4284,-0.4204,0.0079,1.05529,1.06537,0.01008,0.54952,0.62742,0.07789,1.02607,0.57376,-8.3129,0.007348,0.003127
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mvdr,4,3,-0.3854,15.1095,15.4949,-0.4284,8.9375,9.3658,1.05529,1.87793,0.82264,0.54952,0.94734,0.39781,1.05356,0.723,-4.5279,0.01174,0.004996
12178,4,14.5189,cross_room,living_0,bedroom_1,bedroom_1,living_0,True,,1.9436,local_array_4ch,local_mwf,4,3,-0.3854,21.2063,21.5917,-0.4284,16.7077,17.1361,1.05529,2.68061,1.62531,0.54952,0.95544,0.40592,1.07312,0.72378,-4.8867,0.013018,0.00554
