architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
distributed_singles,distributed_mvdr,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,13.33265,15.4464,-5.20571,-3.26465,0.03412,0.06742,0.80986,0.84901,0.83188,0.73419,2.33623,2.30356,0.00699,0.00725,0.77781,0.6886,-9.28967,-10.40865,0.65468,0.65257,1.05445,1.0581
distributed_singles,distributed_mwf,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,12.07417,14.06345,9.63017,11.22875,0.16678,0.1748,0.94253,0.94885,1.28334,1.43249,2.7877,2.70321,0.00712,0.00733,0.77781,0.6886,-4.5081,-4.1232,0.7463,0.74391,1.06964,1.06497
distributed_singles,distributed_weighted_ds,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,1.09578,0.93655,-1.23456,-0.1204,0.00149,0.00856,0.77724,0.76292,0.04405,0.0209,1.5484,1.43879,0.00392,0.00398,0.77781,0.6886,-7.15913,-6.54365,0.62914,0.62656,1.07073,1.03529
distributed_singles,distributed_wpd,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,0.18655,2.22925,-13.35622,-11.84525,-0.30268,-0.30988,0.47306,0.41929,-0.36925,-0.19388,1.1351,1.08399,0.02606,0.02714,0.77781,0.6886,-12.55594,-12.77395,0.54299,0.52707,1.03228,1.0315
distributed_singles,distributed_wpe_mvdr,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,11.53681,13.2836,-5.31034,-3.13605,0.02311,0.05246,0.79885,0.83366,0.59549,0.47866,2.09984,2.01387,0.14254,0.15513,0.77781,0.6886,-9.185,-9.88785,0.65424,0.65826,1.05069,1.04861
distributed_singles,distributed_wpe_mwf,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,11.26928,12.7959,5.14856,6.20685,0.15074,0.15948,0.92648,0.93118,1.06804,1.10008,2.5724,2.46072,0.14262,0.15526,0.77781,0.6886,-4.00772,-3.5164,0.76223,0.76484,1.07256,1.06969
local_array_4ch,local_ds,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,0.93599,0.6282,0.61563,0.4121,0.09235,0.08658,0.63432,0.63056,0.00993,0.00869,1.07859,1.07777,0.00267,0.00262,,,-7.46881,-8.01715,0.58557,0.5792,1.02564,1.0255
local_array_4ch,local_mvdr,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,13.00788,12.55835,9.19417,9.03545,0.3654,0.366,0.90736,0.90539,0.96397,0.68958,2.03263,1.7617,0.00449,0.00442,,,-4.70466,-4.8322,0.69252,0.68681,1.04536,1.04585
local_array_4ch,local_mwf,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,18.96273,16.9987,15.56857,14.77205,0.37193,0.37852,0.91389,0.91054,1.50951,1.20563,2.57816,2.27447,0.00456,0.00425,,,-4.51565,-4.8956,0.69496,0.69294,1.05688,1.05505
local_array_4ch,local_wpd,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,6.58209,5.92735,4.96119,4.32815,0.26439,0.2605,0.80635,0.80448,0.17272,0.07353,1.24138,1.13855,0.01617,0.01613,,,-4.8382,-5.29365,0.6744,0.6744,1.03367,1.03341
local_array_4ch,local_wpe_mvdr,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,11.73256,11.49945,7.06601,7.50905,0.30372,0.29868,0.84569,0.83447,0.62263,0.48762,1.69129,1.55686,0.03834,0.03806,,,-3.58619,-3.58895,0.71548,0.71327,1.04937,1.04537
local_array_4ch,local_wpe_mwf,10,1.0,-0.30405,-0.31055,-0.39997,-0.4168,0.54196,0.54163,1.06866,1.07029,15.87285,15.2091,10.01874,10.80905,0.30883,0.29963,0.8508,0.83542,1.0025,0.90442,2.07116,1.98285,0.03839,0.03796,,,-3.61789,-3.87935,0.71508,0.7163,1.0591,1.05615
single,single_raw,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,0.0,0.0,0.0,0.0,0.0,0.0,0.77574,0.77348,0.0,0.0,1.50435,1.30211,0.0,0.0,0.77781,0.6886,-5.34197,-5.23635,0.66838,0.67917,1.04097,1.03777
single,single_wiener,10,0.8,8.40606,7.42545,8.39886,7.56895,0.77574,0.77348,1.50435,1.30211,2.67427,2.7236,1.3089,1.37155,-0.01818,-0.01473,0.75756,0.76047,-0.06872,-0.1045,1.43564,1.16929,0.00412,0.00386,0.77781,0.6886,-4.77016,-4.7301,0.64544,0.66101,1.04086,1.03279
