room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
10,distributed_singles,distributed_mvdr,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,13.6329,13.6329,-5.13215,-5.13215,0.05401,0.05401,0.84901,0.84901,0.90753,0.90753,2.30356,2.30356,0.00728,0.00728,0.5043,0.5043,-7.36285,-7.36285,0.61728,0.61728,1.04565,1.04565
10,distributed_singles,distributed_mwf,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,10.77655,10.77655,8.05115,8.05115,0.14237,0.14237,0.93737,0.93737,1.30549,1.30549,2.70151,2.70151,0.00715,0.00715,0.5043,0.5043,-5.7646,-5.7646,0.70321,0.70321,1.06637,1.06637
10,distributed_singles,distributed_weighted_ds,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,-0.6328,-0.6328,-5.15955,-5.15955,-0.09695,-0.09695,0.69805,0.69805,-0.10733,-0.10733,1.28869,1.28869,0.00397,0.00397,0.5043,0.5043,-8.29285,-8.29285,0.55024,0.55024,1.19186,1.19186
10,distributed_singles,distributed_wpd,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,1.7089,1.7089,-10.40985,-10.40985,-0.32768,-0.32768,0.46732,0.46732,-0.21075,-0.21075,1.18527,1.18527,0.02714,0.02714,0.5043,0.5043,-12.77395,-12.77395,0.52707,0.52707,1.03126,1.03126
10,distributed_singles,distributed_wpe_mvdr,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,11.23355,11.23355,-4.8748,-4.8748,0.0336,0.0336,0.82859,0.82859,0.66825,0.66825,2.06427,2.06427,0.15657,0.15657,0.5043,0.5043,-8.4966,-8.4966,0.61354,0.61354,1.04562,1.04562
10,distributed_singles,distributed_wpe_mwf,2,1.0,8.5259,8.5259,8.571,8.571,0.795,0.795,1.39602,1.39602,9.79515,9.79515,4.79325,4.79325,0.12295,0.12295,0.91795,0.91795,1.06469,1.06469,2.46072,2.46072,0.15659,0.15659,0.5043,0.5043,-5.33865,-5.33865,0.71731,0.71731,1.07328,1.07328
10,local_array_4ch,local_ds,2,1.0,-0.2701,-0.2701,-0.2612,-0.2612,0.54905,0.54905,1.06742,1.06742,0.52485,0.52485,0.1058,0.1058,0.07995,0.07995,0.62901,0.62901,0.00725,0.00725,1.07466,1.07466,0.00233,0.00233,,,-5.2459,-5.2459,0.628,0.628,1.02669,1.02669
10,local_array_4ch,local_mvdr,2,1.0,-0.2701,-0.2701,-0.2612,-0.2612,0.54905,0.54905,1.06742,1.06742,10.66225,10.66225,7.0968,7.0968,0.3118,0.3118,0.86085,0.86085,0.78696,0.78696,1.85439,1.85439,0.00406,0.00406,,,-2.8023,-2.8023,0.73438,0.73438,1.04487,1.04487
10,local_array_4ch,local_mwf,2,1.0,-0.2701,-0.2701,-0.2612,-0.2612,0.54905,0.54905,1.06742,1.06742,16.40125,16.40125,12.0802,12.0802,0.31609,0.31609,0.86514,0.86514,1.33972,1.33972,2.40713,2.40713,0.00414,0.00414,,,-2.7708,-2.7708,0.74691,0.74691,1.06127,1.06127
10,local_array_4ch,local_wpd,2,1.0,-0.2701,-0.2701,-0.2612,-0.2612,0.54905,0.54905,1.06742,1.06742,4.86295,4.86295,3.561,3.561,0.21392,0.21392,0.76297,0.76297,0.08504,0.08504,1.15246,1.15246,0.01569,0.01569,,,-3.40825,-3.40825,0.69598,0.69598,1.03392,1.03392
