scenario,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
cross_room,distributed_singles,distributed_mvdr,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,10.84318,10.5431,-7.2893,-6.9695,0.02744,0.00965,0.88087,0.91454,0.88377,0.6618,2.71542,2.71278,0.00696,0.00724,0.77782,0.6886,-8.88068,-10.4693,0.65999,0.68327,1.05456,1.05925
cross_room,distributed_singles,distributed_mwf,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,9.83722,7.7657,7.50862,5.6286,0.1076,0.10242,0.96103,0.96648,1.27867,1.12114,3.11033,3.10764,0.00703,0.00734,0.77782,0.6886,-5.59356,-4.6606,0.7304,0.75236,1.06887,1.06238
cross_room,distributed_singles,distributed_weighted_ds,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,0.99538,0.5592,-2.07412,-0.2802,0.00113,0.00457,0.85456,0.87608,0.04009,0.13219,1.87174,1.63077,0.0039,0.00397,0.77782,0.6886,-7.08452,-5.5577,0.65186,0.67049,1.11062,1.05598
cross_room,distributed_singles,distributed_wpd,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,-4.19698,0.7292,-17.05966,-11.7925,-0.35536,-0.34015,0.49807,0.43564,-0.69576,-0.24546,1.1359,1.08078,0.02586,0.02704,0.77782,0.6886,-13.00662,-13.2831,0.5464,0.52895,1.02908,1.03109
cross_room,distributed_singles,distributed_wpe_mvdr,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,9.4365,8.6243,-7.40866,-6.4762,0.01889,-0.01573,0.87233,0.90256,0.64796,0.39078,2.47962,2.61907,0.14176,0.15492,0.77782,0.6886,-8.9812,-10.3361,0.6663,0.69133,1.05533,1.06331
cross_room,distributed_singles,distributed_wpe_mwf,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,9.26184,7.2274,1.91978,2.6826,0.09503,0.08361,0.94846,0.95532,1.07823,0.95939,2.90989,2.95589,0.14189,0.15513,0.77782,0.6886,-5.0975,-4.0581,0.74726,0.76999,1.06856,1.0702
cross_room,local_array_4ch,local_ds,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,0.7836,0.55,0.47928,0.279,0.0797,0.07613,0.6169,0.60176,0.00936,0.00724,1.07645,1.07451,0.00258,0.0025,,,-7.50032,-7.9566,0.57546,0.57376,1.02584,1.02599
cross_room,local_array_4ch,local_mvdr,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,12.00912,11.1239,8.73054,9.0244,0.35069,0.35416,0.88788,0.87979,0.81512,0.57074,1.88221,1.64547,0.00436,0.00415,,,-4.87916,-4.5279,0.68512,0.68174,1.04259,1.04393
cross_room,local_array_4ch,local_mwf,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,18.19164,16.8685,14.88448,14.5384,0.36048,0.37658,0.89767,0.90221,1.39706,1.19473,2.46415,2.25939,0.00463,0.00422,,,-4.75608,-4.8867,0.68887,0.70039,1.05757,1.05803
cross_room,local_array_4ch,local_wpd,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,6.24394,5.4267,4.65524,3.8387,0.24295,0.24708,0.78015,0.77629,0.15245,0.07153,1.21954,1.12683,0.01614,0.01571,,,-4.93514,-5.3268,0.66227,0.67242,1.03323,1.03124
cross_room,local_array_4ch,local_wpe_mvdr,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,10.90934,10.493,6.587,7.329,0.28824,0.29628,0.82544,0.82549,0.49768,0.38544,1.56476,1.46017,0.03763,0.03717,,,-3.80544,-3.6089,0.70889,0.7084,1.04553,1.04367
cross_room,local_array_4ch,local_wpe_mwf,5,1.0,-0.2955,-0.2795,-0.4051,-0.4284,0.5372,0.54074,1.06709,1.06922,14.88174,14.915,9.40164,10.7303,0.29678,0.3022,0.83398,0.83141,0.87967,0.90089,1.94675,1.97562,0.0378,0.03716,,,-3.82608,-3.7993,0.71104,0.72125,1.05654,1.05488
cross_room,single,single_raw,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,0.0,0.0,0.0,0.0,0.0,0.0,0.85343,0.81882,0.0,0.0,1.83166,1.51407,0.0,0.0,0.77782,0.6886,-5.76866,-4.9035,0.68721,0.69621,1.04743,1.04612
cross_room,single,single_wiener,5,0.8,12.6215,9.6925,12.63422,9.6627,0.85343,0.81882,1.83166,1.51407,2.7392,2.7411,1.18036,1.1886,-0.01139,-0.01349,0.84204,0.80501,-0.0437,-0.13726,1.78796,1.33742,0.00409,0.00382,0.77782,0.6886,-5.47918,-4.6312,0.67391,0.67978,1.05306,1.04731
same_room,distributed_singles,distributed_mvdr,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,15.82212,15.8451,-3.12212,-3.2345,0.0408,0.08134,0.73885,0.82193,0.77999,0.80658,1.95704,2.0627,0.00701,0.00726,0.7778,0.6886,-9.69866,-10.348,0.64936,0.62186,1.05433,1.05696
same_room,distributed_singles,distributed_mwf,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,14.31112,14.3395,11.75172,12.6319,0.22597,0.2127,0.92402,0.94441,1.28801,1.48984,2.46506,2.6386,0.00721,0.00732,0.7778,0.6886,-3.42264,-3.5858,0.76219,0.73545,1.07041,1.06756
same_room,distributed_singles,distributed_weighted_ds,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,1.19618,1.3139,-0.395,0.8189,0.00186,0.01256,0.69991,0.69213,0.04802,0.01768,1.22507,1.16075,0.00394,0.00404,0.7778,0.6886,-7.23374,-7.5296,0.60642,0.62101,1.03084,1.02958
same_room,distributed_singles,distributed_wpd,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,4.57008,3.6238,-9.65278,-11.898,-0.25001,-0.2796,0.44804,0.40295,-0.04274,-0.07571,1.13431,1.0872,0.02627,0.02723,0.7778,0.6886,-12.10526,-12.2648,0.53958,0.52519,1.03548,1.03306
same_room,distributed_singles,distributed_wpe_mvdr,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,13.63712,13.8428,-3.21202,-2.9987,0.02733,0.07262,0.72538,0.81321,0.54302,0.56654,1.72007,1.82267,0.14333,0.15762,0.7778,0.6886,-9.3888,-9.4396,0.64218,0.61118,1.04605,1.04277
same_room,distributed_singles,distributed_wpe_mwf,5,0.8,4.19062,3.1428,4.1635,3.1693,0.69805,0.68025,1.17705,1.14307,13.27672,13.2289,8.37734,8.3148,0.20645,0.19676,0.9045,0.91653,1.05785,1.12011,2.2349,2.26318,0.14336,0.15777,0.7778,0.6886,-2.91794,-2.9747,0.7772,0.7597,1.07656,1.06918
same_room,local_array_4ch,local_ds,5,1.0,-0.3126,-0.3125,-0.39484,-0.348,0.54673,0.54444,1.07022,1.07136,1.08838,1.1042,0.75198,0.6691,0.10501,0.10623,0.65174,0.64861,0.0105,0.00921,1.08073,1.08072,0.00276,0.00269,,,-7.4373,-8.0777,0.59567,0.59029,1.02544,1.02527
same_room,local_array_4ch,local_mvdr,5,1.0,-0.3126,-0.3125,-0.39484,-0.348,0.54673,0.54444,1.07022,1.07136,14.00664,13.1398,9.6578,9.0465,0.38011,0.37784,0.92685,0.91627,1.11283,0.80842,2.18305,1.89056,0.00462,0.00456,,,-4.53016,-5.1104,0.69992,0.69189,1.04814,1.05123
same_room,local_array_4ch,local_mwf,5,1.0,-0.3126,-0.3125,-0.39484,-0.348,0.54673,0.54444,1.07022,1.07136,19.73382,17.1289,16.25266,15.0057,0.38338,0.38046,0.93011,0.91888,1.62195,1.21653,2.69218,2.28955,0.0045,0.00426,,,-4.27522,-4.9045,0.70105,0.68565,1.05618,1.05208
same_room,local_array_4ch,local_wpd,5,1.0,-0.3126,-0.3125,-0.39484,-0.348,0.54673,0.54444,1.07022,1.07136,6.92024,7.7483,5.26714,5.9914,0.28583,0.28482,0.83256,0.8272,0.19299,0.15608,1.26322,1.22169,0.0162,0.01656,,,-4.74126,-5.2605,0.68654,0.67638,1.03412,1.03618
same_room,local_array_4ch,local_wpe_mvdr,5,1.0,-0.3126,-0.3125,-0.39484,-0.348,0.54673,0.54444,1.07022,1.07136,12.55578,11.725,7.54502,7.7432,0.31921,0.30108,0.86594,0.84346,0.74759,0.58981,1.81782,1.67194,0.03905,0.03867,,,-3.36694,-3.569,0.72207,0.71814,1.05321,1.04708
