floorplan_idx,room_count,area_m2,scenario,algorithm,microphones,target_room,interferer_room,noise_room,estimated_room,room_correct,localization_error_m,reference_microphone,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,input_stoi,output_stoi,stoi_improvement,input_pesq,output_pesq,pesq_improvement,input_dry_si_sdr_db,output_dry_si_sdr_db,input_dry_stoi,output_dry_stoi,input_dry_pesq,output_dry_pesq,processing_s,rtf
12178,4,14.5189,same_room,best_single,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,1.1972,0.0,1.1621,1.1621,0.0,0.64181,0.64181,0.0,1.07658,1.07658,0.0,-7.1468,-7.1468,0.58682,0.58682,1.02704,1.02704,0.0,0.0
12178,4,14.5189,same_room,ds,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,2.677,1.4798,1.1621,2.3456,1.1835,0.64181,0.69617,0.05436,1.07658,1.08888,0.01231,-7.1468,-9.0327,0.58682,0.58168,1.02704,1.03325,0.006586,0.002802
12178,4,14.5189,same_room,weighted_ds,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,2.7042,1.507,1.1621,2.4311,1.269,0.64181,0.69996,0.05815,1.07658,1.09659,0.02001,-7.1468,-8.4651,0.58682,0.58525,1.02704,1.03228,0.006457,0.002748
12178,4,14.5189,same_room,mvdr,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,21.5799,20.3827,1.1621,5.3113,4.1492,0.64181,0.94254,0.30073,1.07658,2.32954,1.25296,-7.1468,-7.5197,0.58682,0.74063,1.02704,1.07044,0.011094,0.004721
12178,4,14.5189,same_room,gev,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,9.2192,8.022,1.1621,-3.0644,-4.2264,0.64181,0.92818,0.28637,1.07658,2.27023,1.19366,-7.1468,-11.146,0.58682,0.74254,1.02704,1.07126,0.018837,0.008016
12178,4,14.5189,same_room,mwf,5,living_0,living_0,bedroom_1,living_0,True,0.6885,bathroom_0:aux:1,1.1972,18.6713,17.4742,1.1621,16.2899,15.1279,0.64181,0.93897,0.29716,1.07658,2.1928,1.11622,-7.1468,-4.8355,0.58682,0.7375,1.02704,1.09007,0.011297,0.004807
12178,4,14.5189,cross_room,best_single,5,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,bathroom_0:aux:1,9.8939,9.8939,0.0,9.8652,9.8652,0.0,0.82589,0.82589,0.0,1.34172,1.34172,0.0,-4.7425,-4.7425,0.67724,0.67724,1.05203,1.05203,0.0,0.0
12178,4,14.5189,cross_room,ds,5,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,bathroom_0:aux:1,9.8939,5.5392,-4.3546,9.8652,4.981,-4.8842,0.82589,0.72339,-0.10251,1.34172,1.14673,-0.195,-4.7425,-7.7909,0.67724,0.59779,1.05203,1.03446,0.006626,0.00282
12178,4,14.5189,cross_room,weighted_ds,5,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,bathroom_0:aux:1,9.8939,12.8501,2.9562,9.8652,11.6397,1.7745,0.82589,0.89111,0.06522,1.34172,1.56883,0.2271,-4.7425,-5.3174,0.67724,0.69217,1.05203,1.06276,0.006667,0.002837
12178,4,14.5189,cross_room,mvdr,5,living_0,bedroom_1,bedroom_1,living_0,True,0.6886,bathroom_0:aux:1,9.8939,27.3561,17.4623,9.8652,9.5539,-0.3114,0.82589,0.9729,0.14701,1.34172,3.43914,2.09741,-4.7425,-7.4551,0.67724,0.7171,1.05203,1.06977,0.011621,0.004945
