room_count,algorithm,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
10,best_single,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,0.0,0.0,0.0,0.0,0.0,0.0,0.78637,0.79018,0.0,0.0,1.44342,1.26253,0.0,0.0,0.80008,0.7796,-7.53701,-7.23515,0.62157,0.61456,1.03877,1.03811
10,ds,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,-3.56455,-2.24525,-6.97148,-6.69155,-0.17241,-0.15644,0.61396,0.61889,-0.29712,-0.13762,1.1463,1.13759,0.00437,0.0042,0.80008,0.7796,-11.67812,-11.8264,0.55924,0.55857,1.03394,1.03408
10,gev,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,9.78723,11.12655,-9.75058,-9.0509,0.05584,0.05466,0.84221,0.87268,0.64341,0.60679,2.08683,2.10043,0.01187,0.01165,0.80008,0.7796,-11.01748,-11.2411,0.66153,0.64846,1.05676,1.05395
10,mvdr,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,11.2194,11.83185,-6.20056,-5.17925,0.02126,0.01191,0.80764,0.83874,0.54873,0.51556,1.99215,1.99882,0.00796,0.00773,0.80008,0.7796,-9.90717,-10.41775,0.6299,0.62552,1.06314,1.04824
10,mwf,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,11.05549,12.02535,8.78293,9.38205,0.14336,0.16302,0.92973,0.94637,1.08447,1.17317,2.52789,2.51426,0.00785,0.0077,0.80008,0.7796,-6.71057,-7.0455,0.68338,0.6762,1.09146,1.05994
10,weighted_ds,10,1.0,8.40778,7.7917,8.4081,7.8528,0.78637,0.79018,1.44342,1.26253,0.98402,1.09305,-2.52518,-0.77785,-0.03261,-0.01518,0.75376,0.75882,-0.00942,0.06239,1.434,1.31283,0.0046,0.00419,0.80008,0.7796,-9.86822,-10.2639,0.59632,0.6187,1.03787,1.03719
12,best_single,10,0.8,11.48223,9.8601,11.48834,9.72695,0.81739,0.82255,1.85959,1.53682,0.0,0.0,0.0,0.0,0.0,0.0,0.81739,0.82255,0.0,0.0,1.85959,1.53682,0.0,0.0,0.86218,0.4651,-9.09232,-8.80945,0.6062,0.63253,1.05792,1.03683
12,ds,10,0.8,11.48223,9.8601,11.48834,9.72695,0.81739,0.82255,1.85959,1.53682,-6.31692,-4.48095,-9.69535,-8.93405,-0.21096,-0.22244,0.60643,0.5975,-0.70226,-0.37396,1.15733,1.13495,0.00507,0.00476,0.86218,0.4651,-12.5172,-12.6105,0.55336,0.55828,1.03236,1.03235
12,gev,10,0.8,11.48223,9.8601,11.48834,9.72695,0.81739,0.82255,1.85959,1.53682,5.88762,5.70725,-11.41184,-10.76465,-0.03323,-0.02729,0.78416,0.8482,0.11274,0.15073,1.97233,1.92609,0.01244,0.01256,0.86218,0.4651,-11.99809,-12.9675,0.60416,0.59427,1.07277,1.06043
12,mvdr,10,0.8,11.48223,9.8601,11.48834,9.72695,0.81739,0.82255,1.85959,1.53682,7.06412,7.01125,-10.05445,-10.60185,-0.08408,-0.06436,0.73332,0.80811,0.02998,0.05644,1.88956,1.95273,0.00865,0.00874,0.86218,0.4651,-12.66708,-12.5992,0.60945,0.59895,1.04413,1.04341
