scenario,algorithm,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
cross_room,best_single,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,0.0,0.0,0.0,0.0,0.0,0.0,0.87604,0.88456,0.0,0.0,1.85731,1.68219,0.0,0.0,0.94149,0.7724,-7.71421,-8.1369,0.64287,0.6349,1.04583,1.04326
cross_room,ds,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,-7.27018,-6.0584,-9.74688,-7.6569,-0.19895,-0.18204,0.67709,0.70237,-0.65107,-0.44819,1.20623,1.20172,0.00408,0.00403,0.94149,0.7724,-10.98474,-11.2681,0.56495,0.56836,1.0365,1.03463
cross_room,gev,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,6.92773,6.9603,-10.11259,-8.7427,0.02685,0.00055,0.90289,0.9076,0.71933,0.51912,2.57664,2.57065,0.01079,0.01147,0.94149,0.7724,-10.63684,-10.807,0.66072,0.66704,1.06297,1.0529
cross_room,mvdr,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,9.49362,9.3013,-7.09902,-6.2526,0.00822,0.00171,0.88427,0.89639,0.70225,0.54403,2.55956,2.5842,0.00715,0.00738,0.94149,0.7724,-10.46316,-11.0168,0.63988,0.63721,1.05802,1.0478
cross_room,mwf,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,7.95048,7.3818,5.84444,5.114,0.0803,0.06862,0.95634,0.96159,1.01572,0.9999,2.87303,2.89398,0.00702,0.00742,0.94149,0.7724,-7.60381,-8.5318,0.66917,0.65048,1.05603,1.05144
cross_room,weighted_ds,25,0.96,13.53614,13.2635,13.52668,13.2028,0.87604,0.88456,1.85731,1.68219,1.55634,1.9669,-2.78002,-0.8643,-0.00812,0.00419,0.86792,0.87418,0.0688,0.11705,1.9261,1.84639,0.00411,0.00404,0.94149,0.7724,-9.17853,-10.347,0.63795,0.63681,1.04565,1.04428
same_room,best_single,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,0.0,0.0,0.0,0.0,0.0,0.0,0.67579,0.65473,0.0,0.0,1.14667,1.12616,0.0,0.0,0.94698,0.7724,-9.37256,-11.0268,0.56844,0.55734,1.04751,1.03085
same_room,ds,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,2.17304,2.1836,-0.10145,-0.1537,-0.01859,-0.02091,0.6572,0.6756,0.03872,0.01912,1.18539,1.16851,0.00407,0.00408,0.94698,0.7724,-11.24942,-11.5039,0.5572,0.56181,1.03448,1.03412
same_room,gev,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,12.94888,13.6275,-2.7862,-3.938,0.13169,0.14401,0.80749,0.85699,0.75545,0.76991,1.90212,1.92225,0.01085,0.0115,0.94698,0.7724,-11.15548,-11.6941,0.64021,0.63727,1.05569,1.04917
same_room,mvdr,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,15.02603,14.7311,0.09096,0.1689,0.10987,0.0934,0.78566,0.84653,0.76879,0.70191,1.91546,1.92755,0.0071,0.00755,0.94698,0.7724,-10.77809,-11.3647,0.62506,0.62512,1.05387,1.04389
same_room,mwf,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,13.63172,14.0657,10.96739,10.9762,0.2224,0.2205,0.89819,0.90238,0.97172,1.00676,2.11839,2.17097,0.00726,0.00762,0.94698,0.7724,-7.69386,-9.4136,0.66654,0.6626,1.07093,1.05427
same_room,weighted_ds,25,0.96,3.18766,2.661,3.20868,2.588,0.67579,0.65473,1.14667,1.12616,2.94435,2.7331,1.20652,1.269,0.02851,0.04087,0.7043,0.70099,0.08622,0.07114,1.23289,1.21558,0.00401,0.00398,0.94698,0.7724,-10.37508,-11.3209,0.5732,0.56886,1.05368,1.03488
