target_case,strategy,cases,room_accuracy,positive_si_sdr_rate,mean_physical_devices,mean_physical_channels,mean_input_snr_db,p10_input_snr_db,mean_output_snr_db,p10_output_snr_db,mean_snr_improvement_db,p10_snr_improvement_db,mean_si_sdr_improvement_db,p10_si_sdr_improvement_db,mean_output_pesq,p10_output_pesq,mean_pesq_improvement,p10_pesq_improvement,mean_output_stoi,p10_output_stoi,mean_output_dry_pesq,p10_output_dry_pesq,mean_output_dry_stoi,p10_output_dry_stoi,mean_rtf,p10_rtf
array_covered,coverage_hybrid_all_mwf,50,0.68,1.0,8.6,12.8,0.11208,-0.42008,21.52093,16.27556,21.40885,16.34698,17.24087,13.22598,2.42191,1.73832,1.36455,0.69392,0.93818,0.89587,1.1961,1.06226,0.81165,0.7421,0.01175,0.00891
array_covered,coverage_hybrid_selected_mwf,50,0.68,1.0,8.6,12.8,0.11208,-0.42008,20.03274,14.52202,19.92066,14.65966,15.96883,11.71174,2.25802,1.57532,1.20066,0.53093,0.92401,0.8682,1.18395,1.06284,0.80587,0.73779,0.0065,0.00617
array_covered,distributed_singles_mwf,50,0.68,1.0,7.2,7.2,-0.05713,-0.90658,11.1534,6.09882,11.21054,5.97158,8.86076,3.6691,1.3953,1.13835,0.33868,0.08298,0.75487,0.60283,1.09597,1.04099,0.69693,0.57522,0.00697,0.00495
array_covered,equal_channel_hybrid_mwf,50,0.68,1.0,4.2,7.2,-1.8501,-8.63423,14.65237,3.38823,16.50247,7.57892,13.26027,6.23165,1.8532,1.07714,0.7413,0.03332,0.80128,0.46911,1.15928,1.04024,0.73336,0.50626,0.00702,0.00495
array_covered,oracle_target_room_array_mwf,50,0.68,1.0,1.0,4.0,-0.26903,-0.4111,18.26776,13.33838,18.53677,13.6222,15.00651,11.40497,2.03437,1.59704,0.9819,0.54895,0.9146,0.85182,1.16098,1.06998,0.80117,0.73087,0.00431,0.00417
array_covered,oracle_target_room_single_raw,50,0.68,0.0,1.0,1.0,-0.42223,-0.44708,-0.42223,-0.44708,0.0,0.0,0.0,0.0,1.05202,1.04631,0.0,0.0,0.59597,0.56848,1.02746,1.02428,0.59603,0.55851,0.0,0.0
array_covered,tdoa_routed_fixed_array_ds,50,0.68,0.58,8.6,12.8,-0.26634,-0.41018,0.60649,-0.20828,0.87283,-0.06778,0.14692,-0.73364,1.06539,1.05684,0.01285,0.007,0.68796,0.62177,1.03367,1.02713,0.65651,0.59436,0.00255,0.00238
array_covered,tdoa_routed_fixed_array_mwf,50,0.68,1.0,8.6,12.8,-0.26634,-0.41018,18.28834,13.31966,18.55467,13.61517,15.01341,11.43227,2.03771,1.59009,0.98517,0.54136,0.91536,0.85273,1.16018,1.07126,0.80129,0.73189,0.00431,0.00417
array_covered,tdoa_routed_single_raw,50,0.68,0.0,7.2,7.2,-2.10838,-6.33642,-2.10838,-6.33642,0.0,0.0,0.0,0.0,1.05705,1.04156,0.0,0.0,0.56192,0.33455,1.03209,1.02465,0.58048,0.43334,0.0,0.0
array_covered,tdoa_routed_single_wiener,50,0.68,0.94,7.2,7.2,-2.10838,-6.33642,-0.23373,-4.24416,1.87466,2.02006,1.51864,1.21212,1.03425,1.0241,-0.0228,-0.04399,0.52511,0.33076,1.03822,1.02109,0.51887,0.34565,0.00394,0.00381
