algorithm,architecture,area_m2,deployment,estimated_room,fixed_array_count,fixed_single_count,floorplan_idx,input_pesq,input_si_sdr_db,input_snr_db,input_stoi,interferer_room,localization_error_m,noise_room,output_dry_pesq,output_dry_si_sdr_db,output_dry_stoi,output_pesq,output_si_sdr_db,output_snr_db,output_stoi,pesq_improvement,physical_channels,physical_devices,physical_microphones,pipeline,processing_architecture,processing_pipeline,processing_s,reference_channel,room_correct,room_count,rtf,scenario,selected_room,selection_mode,si_sdr_improvement_db,snr_improvement_db,stoi_improvement,strategy,target_case,target_room,target_room_has_fixed_array,target_room_has_fixed_single
raw,oracle_local_single,14.5189,oracle_local_single,balcony_0,1,5,12178,1.04124,-0.3273,-0.3871,0.63086,balcony_0,0.7081,bedroom_1,1.03231,-2.3078,0.64052,1.04124,-0.3273,-0.3871,0.63086,0.0,1,1,1,oracle_target_room_single_raw,single,single_raw,0.0,0,True,4,0.0,same_room,balcony_0,oracle,0.0,0.0,0.0,oracle_target_room_single_raw,array_covered,balcony_0,True,True
raw,fixed_distributed_singles,14.5189,fixed_distributed_singles,balcony_0,1,5,12178,1.04162,-0.3062,-0.4196,0.63301,balcony_0,0.7081,bedroom_1,1.03328,-2.2749,0.64037,1.04162,-0.3062,-0.4196,0.63301,0.0,5,5,5,tdoa_routed_single_raw,single,single_raw,0.0,0,True,4,0.0,same_room,balcony_0,tdoa_room,0.0,0.0,0.0,tdoa_routed_single_raw,array_covered,balcony_0,True,True
wiener,fixed_distributed_singles,14.5189,fixed_distributed_singles,balcony_0,1,5,12178,1.04162,-0.3062,-0.4196,0.63301,balcony_0,0.7081,bedroom_1,1.02583,-0.7345,0.57977,1.0269,1.5612,2.2297,0.58066,-0.01472,5,5,5,tdoa_routed_single_wiener,single,single_wiener,0.009179,0,True,4,0.003906,same_room,balcony_0,tdoa_room,1.8673,2.6493,-0.05236,tdoa_routed_single_wiener,array_covered,balcony_0,True,True
mwf,oracle_local_array,14.5189,oracle_local_array,balcony_0,1,5,12178,1.04198,-0.3113,-0.3714,0.62952,balcony_0,0.7081,bedroom_1,1.42695,4.611,0.89818,1.73064,14.6543,18.3572,0.92682,0.68866,4,1,4,oracle_target_room_array_mwf,local_array_4ch,local_mwf,0.010109,1,True,4,0.004302,same_room,balcony_0,oracle,14.9657,18.7286,0.2973,oracle_target_room_array_mwf,array_covered,balcony_0,True,True
ds,fixed_arrays,14.5189,fixed_arrays,balcony_0,1,5,12178,1.04216,-0.3126,-0.3729,0.6306,balcony_0,0.7081,bedroom_1,1.03823,-2.3128,0.7174,1.04737,-0.5397,0.3079,0.71806,0.00522,9,6,9,tdoa_routed_fixed_array_ds,local_array_4ch,local_ds,0.00599,1,True,4,0.002549,same_room,balcony_0,tdoa_room,-0.2271,0.6809,0.08746,tdoa_routed_fixed_array_ds,array_covered,balcony_0,True,True
mwf,fixed_arrays,14.5189,fixed_arrays,balcony_0,1,5,12178,1.04216,-0.3126,-0.3729,0.6306,balcony_0,0.7081,bedroom_1,1.42664,4.6244,0.89854,1.73928,14.6657,18.4062,0.92841,0.69712,9,6,9,tdoa_routed_fixed_array_mwf,local_array_4ch,local_mwf,0.010272,1,True,4,0.004371,same_room,balcony_0,tdoa_room,14.9784,18.7791,0.29781,tdoa_routed_fixed_array_mwf,array_covered,balcony_0,True,True
mwf,fixed_distributed_singles,14.5189,fixed_distributed_singles,balcony_0,1,5,12178,1.04162,-0.3062,-0.4196,0.63301,balcony_0,0.7081,bedroom_1,1.46801,4.9829,0.90271,1.86119,15.9153,20.5376,0.93722,0.81957,5,5,5,distributed_singles_mwf,distributed_singles,distributed_mwf,0.011654,4,True,4,0.004959,same_room,multiple,all,16.2215,20.9573,0.30421,distributed_singles_mwf,array_covered,balcony_0,True,True
mwf,one_array_plus_budget_singles,14.5189,one_array_plus_budget_singles,balcony_0,1,5,12178,1.04216,-0.3126,-0.3729,0.6306,balcony_0,0.7081,bedroom_1,1.45905,4.64,0.90075,1.79495,14.9292,18.8046,0.93134,0.75279,5,2,5,equal_channel_hybrid_mwf,hybrid_array_singles,distributed_mwf,0.011278,2,True,4,0.004799,same_room,multiple,fixed_equal_channel,15.2418,19.1775,0.30074,equal_channel_hybrid_mwf,array_covered,balcony_0,True,True
mwf,coverage_singles_plus_arrays,14.5189,coverage_singles_plus_arrays,balcony_0,1,5,12178,1.04162,-0.3062,-0.4196,0.63301,balcony_0,0.7081,bedroom_1,1.63934,4.9919,0.92306,2.193,17.2016,21.7781,0.95981,1.15138,9,6,9,coverage_hybrid_selected_mwf,hybrid_array_singles,distributed_mwf,0.014325,0,True,4,0.006096,same_room,balcony_0,tdoa_room_subset,17.5078,22.1977,0.32679,coverage_hybrid_selected_mwf,array_covered,balcony_0,True,True
mwf,coverage_singles_plus_arrays,14.5189,coverage_singles_plus_arrays,balcony_0,1,5,12178,1.04162,-0.3062,-0.4196,0.63301,balcony_0,0.7081,bedroom_1,1.74959,5.2073,0.93186,2.44586,18.9309,25.2851,0.97032,1.40424,9,6,9,coverage_hybrid_all_mwf,hybrid_array_singles,distributed_mwf,0.020281,4,True,4,0.00863,same_room,multiple,all,19.237,25.7048,0.33731,coverage_hybrid_all_mwf,array_covered,balcony_0,True,True
