strategy,cases,room_accuracy,positive_si_sdr_rate,mean_physical_devices,mean_physical_channels,mean_input_snr_db,p10_input_snr_db,mean_output_snr_db,p10_output_snr_db,mean_snr_improvement_db,p10_snr_improvement_db,mean_si_sdr_improvement_db,p10_si_sdr_improvement_db,mean_output_pesq,p10_output_pesq,mean_pesq_improvement,p10_pesq_improvement,mean_output_stoi,p10_output_stoi,mean_output_dry_pesq,p10_output_dry_pesq,mean_output_dry_stoi,p10_output_dry_stoi,mean_rtf,p10_rtf
coverage_hybrid_all_mwf,100,0.76,1.0,8.6,12.8,-0.17061,-0.60961,16.03527,6.91976,16.20588,7.34535,13.04599,5.26491,1.90695,1.18615,0.84148,0.1204,0.84105,0.62738,1.12985,1.04262,0.73918,0.59534,0.01171,0.00865
coverage_hybrid_selected_mwf,100,0.76,1.0,8.6,12.8,-0.4426,-1.64383,14.54133,6.09885,14.98393,6.94839,11.87964,4.59577,1.78457,1.1588,0.71956,0.10385,0.8129,0.59994,1.12204,1.03961,0.72554,0.58529,0.0065,0.00618
distributed_singles_mwf,100,0.76,1.0,7.2,7.2,-0.23599,-1.19224,10.53932,6.2279,10.77532,6.22754,8.5173,4.21667,1.37016,1.14018,0.31349,0.08657,0.74049,0.60206,1.07897,1.0402,0.67863,0.57104,0.00699,0.00489
equal_channel_hybrid_mwf,100,0.76,1.0,4.2,7.2,-3.7976,-14.03812,9.35189,0.04723,13.14949,5.07092,10.11737,2.90347,1.49909,1.06153,0.38499,-0.00076,0.6768,0.36958,1.12627,1.03197,0.64916,0.46526,0.00704,0.00497
oracle_target_room_array_mwf,100,0.76,1.0,1.0,4.0,-0.27644,-0.42925,18.73123,13.33838,19.00766,13.6222,15.25352,11.41266,2.11808,1.59824,1.06387,0.54912,0.92254,0.85182,1.13987,1.06324,0.798,0.73125,0.00432,0.00416
oracle_target_room_single_raw,100,0.76,0.0,1.0,1.0,-0.42088,-0.44583,-0.42088,-0.44583,0.0,0.0,0.0,0.0,1.05373,1.04716,0.0,0.0,0.59168,0.55885,1.02678,1.02375,0.59064,0.55333,0.0,0.0
tdoa_routed_fixed_array_ds,100,0.76,0.54,8.6,12.8,-10.41851,-29.85368,-9.94422,-29.23958,0.47429,-0.61091,0.00813,-1.07193,1.09991,1.02217,0.00852,-0.01115,0.44863,0.12464,1.08931,1.02039,0.53515,0.38471,0.00254,0.00238
tdoa_routed_fixed_array_mwf,100,0.76,1.0,8.6,12.8,-10.41851,-29.85368,7.96104,-6.93682,18.37955,9.71157,13.72066,6.96145,1.6524,1.04837,0.56101,0.01465,0.61952,0.1852,1.18702,1.03197,0.62891,0.39744,0.00431,0.00416
tdoa_routed_single_raw,100,0.76,0.0,7.2,7.2,-1.65035,-2.33655,-1.65035,-2.33655,0.0,0.0,0.0,0.0,1.05553,1.04378,0.0,0.0,0.56181,0.49472,1.03258,1.02352,0.57645,0.48047,0.0,0.0
tdoa_routed_single_wiener,100,0.76,0.95,7.2,7.2,-1.65035,-2.33655,0.37551,0.01134,2.02586,2.03695,1.46317,1.26047,1.03046,1.02327,-0.02507,-0.03852,0.52555,0.47909,1.03341,1.02071,0.51439,0.44536,0.00397,0.00384
