room_count,strategy,cases,room_accuracy,positive_si_sdr_rate,mean_physical_devices,mean_physical_channels,mean_input_snr_db,p10_input_snr_db,mean_output_snr_db,p10_output_snr_db,mean_snr_improvement_db,p10_snr_improvement_db,mean_si_sdr_improvement_db,p10_si_sdr_improvement_db,mean_output_pesq,p10_output_pesq,mean_pesq_improvement,p10_pesq_improvement,mean_output_stoi,p10_output_stoi,mean_output_dry_pesq,p10_output_dry_pesq,mean_output_dry_stoi,p10_output_dry_stoi,mean_rtf,p10_rtf
10,coverage_hybrid_all_mwf,20,0.7,1.0,10.0,16.0,0.15611,-0.43842,15.71805,6.59515,15.56194,7.03115,12.39033,4.76851,1.90643,1.15871,0.84961,0.1115,0.81794,0.62352,1.14126,1.04697,0.74566,0.60754,0.01397,0.01356
10,coverage_hybrid_selected_mwf,20,0.7,1.0,10.0,16.0,0.15611,-0.43842,14.37489,6.10728,14.21878,6.91457,11.02663,4.47134,1.76408,1.147,0.70726,0.10035,0.8026,0.61049,1.13605,1.04762,0.73791,0.60309,0.00644,0.00617
10,distributed_singles_mwf,20,0.7,1.0,8.0,8.0,0.04094,-0.59228,10.36076,6.5609,10.31983,6.38527,8.18627,4.11505,1.33593,1.13955,0.27991,0.08593,0.7434,0.61132,1.10513,1.048,0.69351,0.57493,0.00781,0.00742
10,equal_channel_hybrid_mwf,20,0.7,1.0,5.0,8.0,-3.3945,-14.40114,7.33177,-0.26676,10.72626,4.96487,8.09208,2.79687,1.37528,1.05985,0.25747,-0.02858,0.62195,0.33862,1.11956,1.03063,0.62712,0.47872,0.00797,0.00748
10,oracle_target_room_array_mwf,20,0.7,1.0,1.0,4.0,-0.23028,-0.42008,19.66512,15.64222,19.8954,15.83622,15.86378,13.23658,2.11416,1.67226,1.05996,0.61096,0.94132,0.90493,1.1568,1.08639,0.82493,0.7771,0.00437,0.00419
10,oracle_target_room_single_raw,20,0.7,0.0,1.0,1.0,-0.41805,-0.44385,-0.41805,-0.44385,0.0,0.0,0.0,0.0,1.05274,1.04739,0.0,0.0,0.60829,0.57345,1.0278,1.02494,0.6034,0.56836,0.0,0.0
10,tdoa_routed_fixed_array_ds,20,0.7,0.45,10.0,16.0,-10.7717,-21.70259,-10.4364,-22.15457,0.33531,-0.73485,-0.15944,-1.05858,1.04886,1.02302,-0.03144,-0.01491,0.49268,0.15044,1.0317,1.02021,0.55884,0.38666,0.00256,0.00238
10,tdoa_routed_fixed_array_mwf,20,0.7,1.0,10.0,16.0,-10.7717,-21.70259,7.51025,-7.47223,18.28196,9.58274,12.65061,6.51077,1.57353,1.04774,0.49324,0.01927,0.62733,0.18273,1.13518,1.03268,0.65463,0.40134,0.00429,0.00415
10,tdoa_routed_single_raw,20,0.7,0.0,8.0,8.0,0.03372,-0.59228,0.03372,-0.59228,0.0,0.0,0.0,0.0,1.05608,1.04568,0.0,0.0,0.6201,0.58933,1.02954,1.02491,0.61004,0.57059,0.0,0.0
10,tdoa_routed_single_wiener,20,0.7,1.0,8.0,8.0,0.03372,-0.59228,2.58523,1.50771,2.5515,2.09782,1.72152,1.30208,1.03058,1.02315,-0.0255,-0.03257,0.57867,0.54435,1.02543,1.02149,0.55141,0.4998,0.00397,0.00385
12,coverage_hybrid_all_mwf,20,0.9,1.0,10.0,16.0,-0.0399,-0.4354,15.18326,5.68292,15.22316,6.05472,12.17642,4.4145,1.85458,1.14622,0.79641,0.09137,0.81616,0.59724,1.14037,1.04194,0.74026,0.59602,0.01419,0.01361
12,coverage_hybrid_selected_mwf,20,0.9,1.0,10.0,16.0,-0.0399,-0.4354,14.12361,5.33242,14.16353,5.71161,11.21601,3.79829,1.75801,1.13584,0.69985,0.08099,0.80253,0.58827,1.1289,1.03961,0.73347,0.58399,0.00661,0.00628
12,distributed_singles_mwf,20,0.9,1.0,8.0,8.0,-0.17383,-0.64291,7.85956,4.61457,8.03339,5.05869,5.93501,2.73025,1.21757,1.12998,0.15996,0.06987,0.6695,0.58166,1.05782,1.03857,0.6507,0.57232,0.00794,0.00752
