scenario,strategy,cases,room_accuracy,positive_si_sdr_rate,mean_physical_devices,mean_physical_channels,mean_input_snr_db,p10_input_snr_db,mean_output_snr_db,p10_output_snr_db,mean_snr_improvement_db,p10_snr_improvement_db,mean_si_sdr_improvement_db,p10_si_sdr_improvement_db,mean_output_pesq,p10_output_pesq,mean_pesq_improvement,p10_pesq_improvement,mean_output_stoi,p10_output_stoi,mean_output_dry_pesq,p10_output_dry_pesq,mean_output_dry_stoi,p10_output_dry_stoi,mean_rtf,p10_rtf
cross_room,coverage_hybrid_all_mwf,50,0.76,1.0,8.6,12.8,-0.05413,-0.42771,17.05481,9.42043,17.10895,9.47472,14.11765,7.88738,1.96223,1.29601,0.90535,0.2342,0.87436,0.74372,1.13766,1.05551,0.76676,0.66128,0.01172,0.00864
cross_room,coverage_hybrid_selected_mwf,50,0.76,1.0,8.6,12.8,-0.54624,-0.4324,15.23911,6.5544,15.78536,7.69159,12.69642,5.95476,1.82073,1.20341,0.76424,0.14426,0.83807,0.66194,1.12979,1.04782,0.74646,0.63496,0.0065,0.00618
cross_room,distributed_singles_mwf,50,0.76,1.0,7.2,7.2,-0.15257,-0.45837,11.70532,8.34585,11.8579,8.62439,9.89193,6.87131,1.41812,1.21691,0.36165,0.15819,0.7876,0.69309,1.07999,1.05061,0.71569,0.64853,0.00698,0.0049
cross_room,equal_channel_hybrid_mwf,50,0.76,1.0,4.2,7.2,-4.63207,-14.79941,9.46582,-3.34647,14.0979,5.73238,10.80604,3.57066,1.51431,1.05294,0.38454,-0.01375,0.68905,0.26643,1.11305,1.02967,0.66095,0.43424,0.00704,0.00495
cross_room,oracle_target_room_array_mwf,50,0.76,1.0,1.0,4.0,-0.27569,-0.43429,19.16776,14.86392,19.44344,15.20767,15.58583,12.51628,2.16152,1.65635,1.10693,0.60299,0.9316,0.85657,1.14348,1.06487,0.80236,0.73536,0.00432,0.00416
cross_room,oracle_target_room_single_raw,50,0.76,0.0,1.0,1.0,-0.41704,-0.4421,-0.41704,-0.4421,0.0,0.0,0.0,0.0,1.0538,1.04694,0.0,0.0,0.5904,0.56051,1.02679,1.02434,0.5895,0.55333,0.0,0.0
cross_room,tdoa_routed_fixed_array_ds,50,0.76,0.58,8.6,12.8,-10.92114,-30.07352,-10.39214,-29.64347,0.529,-0.61091,0.09402,-1.06563,1.14909,1.02648,0.03865,-0.01507,0.44148,0.12464,1.13519,1.02046,0.52708,0.36933,0.00254,0.00239
cross_room,tdoa_routed_fixed_array_mwf,50,0.76,1.0,8.6,12.8,-10.92114,-30.07352,7.41792,-7.31982,18.33906,10.23577,13.28956,6.85536,1.71921,1.05895,0.60877,0.0142,0.61004,0.16775,1.23943,1.0332,0.62561,0.39305,0.00431,0.00417
cross_room,tdoa_routed_single_raw,50,0.76,0.0,7.2,7.2,-2.31041,-3.09849,-2.31041,-3.09849,0.0,0.0,0.0,0.0,1.05562,1.04423,0.0,0.0,0.55163,0.47527,1.03261,1.02438,0.57099,0.47219,0.0,0.0
cross_room,tdoa_routed_single_wiener,50,0.76,0.9,7.2,7.2,-2.31041,-3.09849,-0.69142,-1.75937,1.61899,1.41312,1.26494,1.05508,1.02859,1.02275,-0.02703,-0.03811,0.51676,0.45449,1.02721,1.02042,0.50883,0.43977,0.00397,0.00385
same_room,coverage_hybrid_all_mwf,50,0.76,1.0,8.6,12.8,-0.28709,-1.86209,15.01572,6.27989,15.30281,6.696,11.97433,4.56835,1.85167,1.14714,0.77761,0.08314,0.80773,0.59888,1.12203,1.04006,0.7116,0.56235,0.01169,0.00866
same_room,coverage_hybrid_selected_mwf,50,0.76,1.0,8.6,12.8,-0.33896,-2.18378,13.84356,5.2922,14.18251,6.07599,11.06287,4.16651,1.7484,1.14471,0.67487,0.08099,0.78773,0.58827,1.11429,1.03714,0.70462,0.55348,0.0065,0.00618
same_room,distributed_singles_mwf,50,0.76,1.0,7.2,7.2,-0.31942,-1.64547,9.37332,5.42838,9.69274,5.08801,7.14267,3.02947,1.32221,1.1338,0.26534,0.0729,0.69337,0.59488,1.07796,1.0373,0.64157,0.55097,0.007,0.00486
same_room,equal_channel_hybrid_mwf,50,0.76,1.0,4.2,7.2,-2.96312,-9.18773,9.23795,0.64359,12.20108,4.84816,9.42871,2.75941,1.48388,1.07737,0.38544,0.03332,0.66455,0.39458,1.13949,1.03336,0.63736,0.48553,0.00703,0.00501
same_room,oracle_target_room_array_mwf,50,0.76,1.0,1.0,4.0,-0.2772,-0.42691,18.29469,12.44747,18.57188,12.83554,14.92122,11.13025,2.07464,1.57708,1.02081,0.51553,0.91348,0.83211,1.13626,1.0625,0.79364,0.7292,0.00431,0.00416
same_room,oracle_target_room_single_raw,50,0.76,0.0,1.0,1.0,-0.42471,-0.44907,-0.42471,-0.44907,0.0,0.0,0.0,0.0,1.05366,1.04782,0.0,0.0,0.59297,0.55885,1.02677,1.0237,0.59177,0.55458,0.0,0.0
same_room,tdoa_routed_fixed_array_ds,50,0.76,0.5,8.6,12.8,-9.91589,-27.07771,-9.49631,-27.51939,0.41959,-0.57402,-0.07777,-1.0808,1.05074,1.02146,-0.02161,-0.00652,0.45577,0.12483,1.04344,1.02039,0.54322,0.39746,0.00254,0.00237
same_room,tdoa_routed_fixed_array_mwf,50,0.76,1.0,8.6,12.8,-9.91589,-27.07771,8.50417,-4.75476,18.42005,9.11925,14.15176,7.05454,1.5856,1.04645,0.51325,0.01465,0.62899,0.20787,1.13461,1.03113,0.63221,0.43044,0.00431,0.00416
same_room,tdoa_routed_single_raw,50,0.76,0.0,7.2,7.2,-0.99029,-2.33655,-0.99029,-2.33655,0.0,0.0,0.0,0.0,1.05544,1.04156,0.0,0.0,0.57199,0.51417,1.03254,1.02314,0.58191,0.51595,0.0,0.0
same_room,tdoa_routed_single_wiener,50,0.76,1.0,7.2,7.2,-0.99029,-2.33655,1.44243,0.08127,2.43272,2.29993,1.6614,1.39581,1.03233,1.02394,-0.02311,-0.03852,0.53434,0.48235,1.03961,1.02095,0.51995,0.44536,0.00397,0.00383
