floorplan_idx,frame,target_room,estimated_room,true_x_m,true_y_m,raw_x_m,raw_y_m,filtered_x_m,filtered_y_m,velocity_x_m_frame,velocity_y_m_frame,raw_error_m,filtered_error_m,room_correct
20,0,living_0,living_0,5.69929,1.76363,6.06146,3.31818,6.06146,3.31818,0.0,0.0,1.59618,1.59618,True
20,1,living_0,living_0,4.86583,3.4712,5.60929,4.52203,5.69727,4.2878,-0.29084,0.77431,1.28723,1.16538,True
20,2,living_0,living_0,4.03238,5.17878,3.8099,5.24208,4.12106,5.20701,-1.04316,0.85912,0.23131,0.09307,True
20,3,bedroom_1,bedroom_1,3.36683,6.31416,2.99774,7.23416,3.01663,6.95883,-1.07531,1.3276,0.99127,0.73364,True
20,4,bedroom_1,bedroom_1,2.70722,6.92334,2.54233,7.37457,2.39109,7.60404,-0.8418,0.97331,0.48041,0.75052,True
20,5,bedroom_1,bedroom_1,2.0476,7.53253,1.63762,8.40638,1.61513,8.4499,-0.80747,0.90686,0.96525,1.01421,True
29,0,living_0,living_0,7.93954,2.69768,8.15086,2.92967,8.15086,2.92967,0.0,0.0,0.31381,0.31381,True
29,1,living_0,living_0,8.61463,3.43274,8.55109,3.76285,8.47322,3.60074,0.25742,0.5359,0.33616,0.21959,True
29,2,living_0,bedroom_0,9.28973,4.1678,10.02923,5.60264,9.77614,5.31691,0.86934,1.22671,1.6142,1.24782,False
29,3,bedroom_0,bedroom_0,10.01222,4.48779,10.40058,5.46221,10.45831,5.71712,0.77112,0.79297,1.04896,1.30777,True
29,4,bedroom_0,bedroom_0,10.69661,4.48158,11.5744,5.50982,11.48759,5.76153,0.90515,0.40432,1.35195,1.50463,True
29,5,bedroom_0,bedroom_0,11.38101,4.47538,12.08558,5.15981,12.16378,5.41594,0.78578,0.01333,0.98228,1.22367,True
41,0,living_0,living_0,9.20576,5.79756,9.60592,4.92823,9.60592,4.92823,0.0,0.0,0.957,0.957,True
41,1,living_0,living_0,7.5932,5.64549,7.83541,4.51155,8.17989,4.59262,-1.13878,-0.26801,1.15953,1.2053,True
41,2,living_0,living_0,5.98064,5.49343,6.91519,4.10206,6.93973,4.14544,-1.19812,-0.37288,1.67609,1.65437,True
41,3,bedroom_2,bedroom_2,4.65878,5.68469,4.7925,5.5219,5.01622,5.10954,-1.57879,0.32876,0.21067,0.67717,True
41,4,bedroom_2,bedroom_2,3.60927,6.2724,3.44268,5.166,3.44136,5.23452,-1.57676,0.22296,1.11887,1.05137,True
41,5,bedroom_2,bedroom_2,2.55977,6.86012,2.5425,6.83124,2.36992,6.4815,-1.31329,0.75686,0.03365,0.42355,True
60,0,living_0,living_0,7.16317,4.40095,7.2265,4.33676,7.2265,4.33676,0.0,0.0,0.09017,0.09017,True
60,1,living_0,living_0,6.40816,4.98625,6.34596,5.23484,6.51728,5.0601,-0.56636,0.57764,0.25625,0.13176,True
60,2,living_0,living_0,5.65316,5.57156,5.87274,5.24439,5.88798,5.32105,-0.6032,0.39228,0.39403,0.34336,True
60,3,bedroom_0,bedroom_0,5.04314,6.57491,5.35155,7.09592,5.33581,6.77002,-0.57642,0.94682,0.60545,0.35174,True
60,4,bedroom_0,bedroom_0,4.43485,7.96716,3.38766,7.69123,3.73285,7.69767,-1.10939,0.93687,1.08294,0.75195,True
60,5,bedroom_0,bedroom_0,3.82655,9.35942,2.68945,9.64221,2.67265,9.38567,-1.08375,1.32849,1.17174,1.1542,True
