floorplan_idx,frame,target_room,estimated_room,true_x_m,true_y_m,raw_x_m,raw_y_m,filtered_x_m,filtered_y_m,velocity_x_m_frame,velocity_y_m_frame,raw_error_m,filtered_error_m,room_correct
20,0,living_0,living_0,5.69929,1.76363,6.06247,3.33044,6.06247,3.33044,0.0,0.0,1.60835,1.60835,True
20,1,living_0,living_0,4.86583,3.4712,5.36807,4.49377,5.50318,4.26743,-0.44663,0.74825,1.13925,1.01989,True
20,2,living_0,living_0,4.03238,5.17878,3.80945,5.24355,4.05251,5.19914,-1.03429,0.85563,0.23215,0.02863,True
20,3,bedroom_1,bedroom_1,3.36683,6.31416,2.99492,6.82615,3.00041,6.64432,-1.04364,1.16502,0.63281,0.49322,True
20,4,bedroom_1,bedroom_1,2.70722,6.92334,2.54373,6.33981,2.39602,6.70961,-0.81558,0.59405,0.60601,0.37752,True
20,5,bedroom_1,bedroom_1,2.0476,7.53253,1.64232,8.39652,1.62657,8.11829,-0.79153,1.01879,0.95433,0.72138,True
29,0,living_0,living_0,7.93954,2.69768,8.15086,2.92967,8.15086,2.92967,0.0,0.0,0.31381,0.31381,True
29,1,living_0,living_0,8.61463,3.43274,8.55109,3.76285,8.47322,3.60074,0.25742,0.5359,0.33616,0.21959,True
29,2,living_0,bedroom_0,9.28973,4.1678,10.02923,5.60264,9.77614,5.31691,0.86934,1.22671,1.6142,1.24782,False
29,3,bedroom_0,bedroom_0,10.01222,4.48779,10.40058,5.46221,10.45831,5.71712,0.77112,0.79297,1.04896,1.30777,True
29,4,bedroom_0,bedroom_0,10.69661,4.48158,11.54461,5.50055,11.46529,5.7546,0.89358,0.40072,1.32567,1.48709,True
29,5,bedroom_0,bedroom_0,11.38101,4.47538,12.08558,5.15981,12.15516,5.41326,0.78737,0.01382,0.98228,1.21611,True
41,0,living_0,living_0,9.20576,5.79756,9.61088,4.92784,9.61088,4.92784,0.0,0.0,0.95944,0.95944,True
41,1,living_0,living_0,7.5932,5.64549,7.83541,4.51155,8.18086,4.59254,-1.14197,-0.26776,1.15953,1.20584,True
41,2,living_0,bedroom_2,5.98064,5.49343,4.7925,5.49464,5.23032,5.26663,-2.20051,0.2835,1.18814,0.78385,False
41,3,bedroom_2,bedroom_2,4.65878,5.68469,4.7925,5.68019,4.377,5.64953,-1.49352,0.33566,0.1338,0.28397,True
41,4,bedroom_2,bedroom_2,3.60927,6.2724,3.44268,5.166,3.30195,5.37215,-1.27625,0.01737,1.11887,0.95126,True
41,5,bedroom_2,bedroom_2,2.55977,6.86012,2.5425,6.83124,2.41093,6.4642,-1.0754,0.57769,0.03365,0.42297,True
60,0,living_0,living_0,7.16317,4.40095,7.2265,4.33676,7.2265,4.33676,0.0,0.0,0.09017,0.09017,True
60,1,living_0,living_0,6.40816,4.98625,6.34596,5.23484,6.51728,5.0601,-0.56636,0.57764,0.25625,0.13176,True
60,2,living_0,living_0,5.65316,5.57156,5.87274,5.24439,5.88798,5.32105,-0.6032,0.39228,0.39403,0.34336,True
60,3,bedroom_0,bedroom_0,5.04314,6.57491,5.35155,7.09592,5.33581,6.77002,-0.57642,0.94682,0.60545,0.35174,True
60,4,bedroom_0,bedroom_0,4.43485,7.96716,3.38766,7.69123,3.73285,7.69767,-1.10939,0.93687,1.08294,0.75195,True
60,5,bedroom_0,bedroom_0,3.82655,9.35942,2.68945,9.64221,2.67265,9.38567,-1.08375,1.32849,1.17174,1.1542,True
