room_count,sensor_kind,node_count,node_count_min,node_count_max,physical_microphones,physical_microphones_min,physical_microphones_max,floorplans,cases,median_error_m,p90_error_m,room_accuracy,cross_room_cases,cross_room_median_error_m,cross_room_room_accuracy
10,array_4ch,1,1,1,4,4,4,5,50,7.0586,11.325,0.18,45,7.4676,0.1111
10,array_4ch,2,2,2,8,8,8,5,50,1.1422,4.7716,0.6,40,1.8882,0.55
10,array_4ch,3,3,3,12,12,12,5,50,1.0305,3.4974,0.72,35,1.4099,0.6571
10,array_4ch,4,4,4,16,16,16,5,50,0.7238,2.9541,0.78,30,1.3248,0.7
10,array_4ch,5,5,5,20,20,20,5,50,0.4579,1.7472,0.88,25,0.8591,0.88
10,array_4ch,6,6,6,24,24,24,5,50,0.45,1.174,0.96,20,0.7751,1.0
10,array_4ch,7,7,7,28,28,28,5,50,0.3884,1.3146,0.98,15,0.7695,1.0
10,array_4ch,8,8,8,32,32,32,5,50,0.3504,1.07,0.98,10,0.5457,1.0
10,single,3,3,3,3,3,3,5,50,1.3339,3.5356,0.66,35,1.9335,0.5143
10,single,4,4,4,4,4,4,5,50,0.8911,3.396,0.76,30,1.6533,0.6
10,single,5,5,5,5,5,5,5,50,0.6231,1.8732,0.86,25,0.9895,0.72
10,single,6,6,6,6,6,6,5,50,0.5256,1.4094,0.98,20,0.5936,0.95
10,single,7,7,7,7,7,7,5,50,0.4617,1.319,0.98,18,0.5374,0.9444
10,single,8,8,8,8,8,8,5,50,0.4517,1.2283,1.0,15,0.4539,1.0
12,array_4ch,1,1,1,4,4,4,5,60,6.2685,13.2805,0.1667,55,6.8195,0.1091
12,array_4ch,2,2,2,8,8,8,5,60,1.8409,5.6925,0.5,50,2.0658,0.46
12,array_4ch,3,3,3,12,12,12,5,60,1.2808,5.241,0.65,45,1.7222,0.5778
12,array_4ch,4,4,4,16,16,16,5,60,0.966,3.1849,0.7667,40,1.3668,0.725
12,array_4ch,5,5,5,20,20,20,5,60,0.6858,2.1079,0.85,35,1.0182,0.8286
12,array_4ch,6,6,6,24,24,24,5,60,0.5295,1.9956,0.8833,30,1.2331,0.8667
12,array_4ch,7,7,7,28,28,28,5,60,0.3942,1.5253,0.9,25,1.0311,0.88
12,array_4ch,8,8,8,32,32,32,5,60,0.3695,1.5262,0.9333,20,0.9818,0.95
12,single,3,3,3,3,3,3,5,60,1.6001,5.5255,0.5833,45,2.1192,0.4444
12,single,4,4,4,4,4,4,5,60,1.3001,3.577,0.7,40,1.6553,0.55
12,single,5,5,5,5,5,5,5,60,0.8842,2.9161,0.7667,35,1.577,0.6
12,single,6,6,6,6,6,6,5,60,0.6111,2.3364,0.8667,30,1.2129,0.7333
12,single,7,7,7,7,7,7,5,60,0.6031,1.5221,0.95,25,0.7606,0.88
12,single,8,8,8,8,8,8,5,60,0.4601,1.5695,0.9833,23,0.6788,0.9565
4,array_4ch,1,1,1,4,4,4,5,20,2.1631,4.9532,0.35,15,2.184,0.2
4,array_4ch,2,2,2,8,8,8,5,20,0.7181,2.9108,0.75,10,1.2155,0.6
4,array_4ch,3,3,3,12,12,12,5,20,0.4406,1.2347,0.95,5,0.847,1.0
4,array_4ch,4,4,4,16,16,16,5,20,0.4089,1.0735,0.95,0,,
4,array_4ch,5,5,5,20,20,20,5,20,0.3304,0.5778,0.95,0,,
4,array_4ch,6,6,6,24,24,24,5,20,0.3701,0.9536,0.95,0,,
4,array_4ch,7,7,7,28,28,28,5,20,0.3628,0.5996,0.95,0,,
4,array_4ch,8,8,8,32,32,32,5,20,0.343,0.5148,1.0,0,,
4,single,3,3,3,3,3,3,5,20,1.0686,1.6843,0.95,5,0.5682,1.0
4,single,4,4,4,4,4,4,5,20,0.7597,1.4285,0.95,4,0.6564,1.0
4,single,5,5,5,5,5,5,5,20,0.7554,1.1272,1.0,3,0.5502,1.0
4,single,6,6,6,6,6,6,5,20,0.7731,1.163,0.95,3,0.5301,1.0
4,single,7,7,7,7,7,7,5,20,0.6167,1.157,1.0,0,,
4,single,8,8,8,8,8,8,5,20,0.5846,1.1096,1.0,0,,
