floorplan_idx,room_count,area_m2,targets,single_nodes_simulated,array_nodes_simulated,elapsed_s
12178,4,14.5189,4,8,8,0.2966
13429,4,34.1206,4,8,8,0.5696
3400,4,37.6716,4,8,8,0.6022
4306,4,40.2016,4,8,8,0.6997
6528,4,45.9757,4,8,8,0.7286
5856,6,37.1715,6,8,8,1.0863
5895,6,53.7911,6,8,8,1.4979
8479,6,57.1217,6,8,8,1.6588
7215,6,68.8753,6,8,8,1.947
9985,6,71.2962,6,8,8,2.0797
12541,8,71.4286,8,8,8,2.9608
4354,8,77.3761,8,8,8,3.028
2259,8,82.6477,8,8,8,3.3347
4702,8,91.5204,8,8,8,3.7476
1329,8,102.2906,8,8,8,3.8483
14830,10,89.5994,10,8,8,4.9516
3111,10,97.0784,10,8,8,5.2316
4233,10,110.1757,10,8,8,5.621
1449,10,126.1896,10,8,8,6.6436
985,10,144.7309,10,8,8,7.1594
1063,12,104.7056,12,8,8,6.8624
8138,12,115.2963,12,8,8,7.311
7213,12,132.96,12,8,8,8.6207
11,12,155.0128,12,8,8,9.7801
368,12,221.1972,12,8,8,13.5786
