index,room_count,area_m2,portal_count,connected,geometry_valid,split,relative_area_bin,absolute_area_bin,evidence_tier,stratum_calibration_floorplans,stratum_validation_floorplans
13135,4,26.025780534499862,3,True,True,calibration,small,compact_lt60,5-plan,5,5
9997,4,32.58805991918034,3,True,True,calibration,small,compact_lt60,5-plan,5,5
12664,4,37.99889541326053,4,True,True,calibration,medium,compact_lt60,5-plan,5,5
13913,4,40.3687464966489,4,True,True,calibration,medium,compact_lt60,5-plan,5,5
10823,4,60.52500479367143,3,True,True,calibration,large,medium_60_100,5-plan,5,5
14183,6,47.061228470553644,5,True,True,calibration,small,compact_lt60,5-plan,5,5
8736,6,54.887568395885644,5,True,True,calibration,small,compact_lt60,5-plan,5,5
15235,6,57.121744773652026,5,True,True,calibration,small,compact_lt60,5-plan,5,5
14243,6,65.79205335143605,5,True,True,calibration,large,medium_60_100,5-plan,5,5
13902,6,73.65696310793936,5,True,True,calibration,large,medium_60_100,5-plan,5,5
3376,8,64.65494661950522,9,True,True,calibration,small,medium_60_100,5-plan,5,5
3249,8,72.47861306626025,7,True,True,calibration,small,medium_60_100,5-plan,5,5
13882,8,89.271129812695,7,True,True,calibration,medium,medium_60_100,5-plan,5,5
2517,8,89.8752001834226,7,True,True,calibration,medium,medium_60_100,5-plan,5,5
3619,8,103.44251596159803,8,True,True,calibration,large,large_100_150,5-plan,5,5
5206,10,51.40633568225724,9,True,True,calibration,small,compact_lt60,5-plan,5,5
3824,10,96.86376699034557,9,True,True,calibration,small,medium_60_100,5-plan,5,5
11282,10,108.49541225361303,9,True,True,calibration,medium,large_100_150,5-plan,5,5
7746,10,120.39771343059925,9,True,True,calibration,medium,large_100_150,5-plan,5,5
3989,10,142.36480996287415,9,True,True,calibration,large,large_100_150,5-plan,5,5
11089,12,108.66361004185661,12,True,True,calibration,small,large_100_150,5-plan,5,5
10109,12,125.02341053104051,11,True,True,calibration,medium,large_100_150,5-plan,5,5
8937,12,126.68201290892456,11,True,True,calibration,medium,large_100_150,5-plan,5,5
9291,12,143.84007218074512,12,True,True,calibration,medium,large_100_150,5-plan,5,5
7560,12,172.00463871401354,13,True,True,calibration,large,very_large_ge150,5-plan,5,5
12178,4,14.518855532725235,3,True,True,validation,small,compact_lt60,5-plan,5,5
13429,4,34.12064167710753,4,True,True,validation,small,compact_lt60,5-plan,5,5
3400,4,37.671645816076875,4,True,True,validation,medium,compact_lt60,5-plan,5,5
4306,4,40.20160836125955,3,True,True,validation,medium,compact_lt60,5-plan,5,5
6528,4,45.97566703980831,4,True,True,validation,large,compact_lt60,5-plan,5,5
5856,6,37.1714820301379,5,True,True,validation,small,compact_lt60,5-plan,5,5
5895,6,53.791076803366124,5,True,True,validation,small,compact_lt60,5-plan,5,5
8479,6,57.121744773652026,5,True,True,validation,small,compact_lt60,5-plan,5,5
7215,6,68.87527785610746,5,True,True,validation,large,medium_60_100,5-plan,5,5
9985,6,71.29623526943426,5,True,True,validation,large,medium_60_100,5-plan,5,5
12541,8,71.42863313869904,7,True,True,validation,small,medium_60_100,5-plan,5,5
4354,8,77.37613855833135,8,True,True,validation,small,medium_60_100,5-plan,5,5
2259,8,82.64773812132321,7,True,True,validation,medium,medium_60_100,5-plan,5,5
4702,8,91.52035892172151,9,True,True,validation,medium,medium_60_100,5-plan,5,5
1329,8,102.29061570901881,7,True,True,validation,large,large_100_150,5-plan,5,5
14830,10,89.59938141152202,11,True,True,validation,small,medium_60_100,5-plan,5,5
3111,10,97.0784414442641,9,True,True,validation,small,medium_60_100,5-plan,5,5
4233,10,110.17571011747944,9,True,True,validation,medium,large_100_150,5-plan,5,5
1449,10,126.18959771094417,11,True,True,validation,large,large_100_150,5-plan,5,5
985,10,144.7308692827656,11,True,True,validation,large,large_100_150,5-plan,5,5
1063,12,104.7056336641949,13,True,True,validation,small,large_100_150,5-plan,5,5
8138,12,115.29633493890792,11,True,True,validation,small,large_100_150,5-plan,5,5
7213,12,132.95997966815756,13,True,True,validation,medium,large_100_150,5-plan,5,5
11,12,155.01278014933067,12,True,True,validation,large,very_large_ge150,5-plan,5,5
368,12,221.19717154877398,14,True,True,validation,large,very_large_ge150,5-plan,5,5
