room_count,records,connected_records,eligible_records,connected_rate,area_min_m2,area_p10_m2,area_median_m2,area_p90_m2,area_max_m2
2,4,3,3,0.75,8.261,8.316,9.655,13.059,13.999
3,14,8,5,0.571429,8.543,9.392,13.337,15.75,18.412
4,108,95,94,0.87963,8.922,18.133,37.931,47.096,129.021
5,664,614,607,0.924699,14.929,31.654,42.219,52.031,129.041
6,3034,2889,2853,0.952208,10.934,45.31,57.122,77.309,189.281
7,3885,3644,3581,0.937967,22.215,51.656,71.427,90.021,208.705
8,2942,2704,2643,0.919103,24.316,63.181,84.938,106.991,192.387
9,2178,1959,1910,0.899449,31.599,74.735,100.311,129.958,230.917
10,1284,1111,1090,0.865265,36.546,86.025,113.091,146.371,290.938
11,588,472,458,0.802721,41.484,97.657,123.853,167.613,246.094
12,375,205,196,0.546667,47.798,104.778,134.588,175.374,312.143
13,197,80,77,0.406091,53.098,111.97,147.91,193.57,279.193
14,103,38,37,0.368932,75.627,128.651,168.366,219.65,281.836
