room_count,recommended_microphones,meets_thresholds,floorplans,cases,median_error_m,p90_error_m,room_accuracy,cross_room_cases,cross_room_median_error_m,cross_room_room_accuracy,median_error_ci95_low_m,median_error_ci95_high_m,p90_error_ci95_low_m,p90_error_ci95_high_m,room_accuracy_ci95_low,room_accuracy_ci95_high
4,4,True,10,40,0.721,1.5344,1.0,0,,,0.5663,0.9567,1.2209,1.7607,1.0,1.0
5,4,True,10,50,0.9159,1.414,0.9,10,1.0883,1.0,0.7076,1.1266,1.2425,1.6376,0.84,0.96
6,4,True,10,60,0.61,1.8695,0.9167,20,1.0428,0.75,0.5092,0.8535,1.4781,2.3822,0.85,0.9833
7,5,True,10,70,0.6331,1.4311,0.9857,20,0.672,0.95,0.5287,0.7097,1.0815,2.0614,0.9571,1.0
8,5,True,10,80,0.6202,1.8788,0.9625,30,1.2884,0.9,0.5278,0.6625,1.3376,2.3417,0.925,1.0
9,6,True,10,90,0.6144,1.5455,0.9444,30,0.7266,0.8333,0.4395,0.6734,1.245,1.7349,0.9111,0.9778
10,6,True,10,100,0.6178,1.5483,0.98,40,0.8573,0.95,0.5388,0.8365,1.1863,1.8821,0.96,1.0
11,7,True,10,110,0.5677,1.5025,0.9818,40,0.5954,0.975,0.4808,0.6688,1.1589,2.2069,0.9545,1.0
12,7,True,10,120,0.5227,1.556,0.95,50,0.6674,0.88,0.363,0.6741,1.2923,1.82,0.925,0.975
13,7,True,10,130,0.6345,1.8228,0.8692,60,0.8321,0.7667,0.5253,0.7562,1.4812,2.3542,0.8,0.9308
14,7,True,10,140,0.6319,1.7796,0.9143,70,0.7577,0.8429,0.5257,0.7912,1.2316,2.1848,0.8786,0.95
