index,room_count,area_m2,portal_count,connected,geometry_valid,split,relative_area_bin,absolute_area_bin
13135,4,26.025780534499862,3,True,True,calibration,small,compact_lt60
9997,4,32.58805991918034,3,True,True,calibration,small,compact_lt60
12664,4,37.99889541326053,4,True,True,calibration,medium,compact_lt60
13913,4,40.3687464966489,4,True,True,calibration,medium,compact_lt60
10823,4,60.52500479367143,3,True,True,calibration,large,medium_60_100
14277,5,36.05564988308817,5,True,True,calibration,small,compact_lt60
12287,5,40.00384826716876,4,True,True,calibration,medium,compact_lt60
3858,5,42.71050119691433,4,True,True,calibration,medium,compact_lt60
12295,5,46.15458405830906,4,True,True,calibration,large,compact_lt60
12513,5,49.850660683506746,5,True,True,calibration,large,compact_lt60
14183,6,47.061228470553644,5,True,True,calibration,small,compact_lt60
8736,6,54.887568395885644,5,True,True,calibration,small,compact_lt60
15235,6,57.121744773652026,5,True,True,calibration,small,compact_lt60
14243,6,65.79205335143605,5,True,True,calibration,large,medium_60_100
13902,6,73.65696310793936,5,True,True,calibration,large,medium_60_100
9342,7,50.30519828637197,7,True,True,calibration,small,compact_lt60
12747,7,65.86161384486465,6,True,True,calibration,medium,medium_60_100
2379,7,75.5744265358355,6,True,True,calibration,medium,medium_60_100
8221,7,84.08284357340321,6,True,True,calibration,large,medium_60_100
581,7,90.49994424052122,6,True,True,calibration,large,medium_60_100
3376,8,64.65494661950522,9,True,True,calibration,small,medium_60_100
3249,8,72.47861306626025,7,True,True,calibration,small,medium_60_100
13882,8,89.271129812695,7,True,True,calibration,medium,medium_60_100
2517,8,89.8752001834226,7,True,True,calibration,medium,medium_60_100
3619,8,103.44251596159803,8,True,True,calibration,large,large_100_150
7856,9,81.83443666999304,8,True,True,calibration,small,medium_60_100
10167,9,86.58541287936788,8,True,True,calibration,small,medium_60_100
5287,9,98.98531877256343,8,True,True,calibration,medium,medium_60_100
9207,9,106.52112602890743,8,True,True,calibration,medium,large_100_150
6906,9,131.1426890182851,8,True,True,calibration,large,large_100_150
5206,10,51.40633568225724,9,True,True,calibration,small,compact_lt60
3824,10,96.86376699034557,9,True,True,calibration,small,medium_60_100
11282,10,108.49541225361303,9,True,True,calibration,medium,large_100_150
7746,10,120.39771343059925,9,True,True,calibration,medium,large_100_150
3989,10,142.36480996287415,9,True,True,calibration,large,large_100_150
5281,11,104.24866130887871,10,True,True,calibration,small,large_100_150
7033,11,111.06285058476024,10,True,True,calibration,small,large_100_150
2313,11,124.12251766984798,10,True,True,calibration,medium,large_100_150
5665,11,141.15102850102986,12,True,True,calibration,large,large_100_150
663,11,154.4499147635755,11,True,True,calibration,large,very_large_ge150
11089,12,108.66361004185661,12,True,True,calibration,small,large_100_150
10109,12,125.02341053104051,11,True,True,calibration,medium,large_100_150
8937,12,126.68201290892456,11,True,True,calibration,medium,large_100_150
9291,12,143.84007218074512,12,True,True,calibration,medium,large_100_150
7560,12,172.00463871401354,13,True,True,calibration,large,very_large_ge150
7155,13,121.91792929705458,13,True,True,calibration,small,large_100_150
6988,13,135.47010963239973,14,True,True,calibration,medium,large_100_150
2929,13,144.86334227151525,13,True,True,calibration,medium,large_100_150
2631,13,154.7358679892677,15,True,True,calibration,medium,very_large_ge150
916,13,189.13595875824527,15,True,True,calibration,large,very_large_ge150
957,14,126.08701878020965,16,True,True,calibration,small,large_100_150
6735,14,138.79877620339587,14,True,True,calibration,small,large_100_150
951,14,171.76025408340004,15,True,True,calibration,medium,very_large_ge150
1115,14,174.56957189217883,14,True,True,calibration,medium,very_large_ge150
1451,14,207.9922259761805,16,True,True,calibration,large,very_large_ge150
12178,4,14.518855532725235,3,True,True,validation,small,compact_lt60
10871,4,29.337436727079815,4,True,True,validation,small,compact_lt60
10028,4,31.869561480908008,3,True,True,validation,small,compact_lt60
13429,4,34.12064167710753,4,True,True,validation,small,compact_lt60
3400,4,37.671645816076875,4,True,True,validation,medium,compact_lt60
11019,4,39.009349919163135,3,True,True,validation,medium,compact_lt60
4306,4,40.20160836125955,3,True,True,validation,medium,compact_lt60
12834,4,43.18679698773307,4,True,True,validation,large,compact_lt60
6528,4,45.97566703980831,4,True,True,validation,large,compact_lt60
13428,4,51.79496549986769,4,True,True,validation,large,compact_lt60
14305,5,28.387223806084208,4,True,True,validation,small,compact_lt60
8696,5,34.98249381368388,4,True,True,validation,small,compact_lt60
6318,5,38.47664175698934,4,True,True,validation,small,compact_lt60
9333,5,39.149554950910264,4,True,True,validation,small,compact_lt60
14284,5,40.56155376546072,5,True,True,validation,medium,compact_lt60
12347,5,44.00816558030073,4,True,True,validation,medium,compact_lt60
15304,5,44.294151465263035,4,True,True,validation,medium,compact_lt60
5958,5,45.42201271417795,4,True,True,validation,large,compact_lt60
12472,5,49.984465167226844,4,True,True,validation,large,compact_lt60
11938,5,58.12994166058146,4,True,True,validation,large,compact_lt60
5856,6,37.1714820301379,5,True,True,validation,small,compact_lt60
2728,6,46.95060626454736,5,True,True,validation,small,compact_lt60
5895,6,53.791076803366124,5,True,True,validation,small,compact_lt60
6178,6,57.121744773652026,5,True,True,validation,small,compact_lt60
8479,6,57.121744773652026,5,True,True,validation,small,compact_lt60
13888,6,57.121744773652026,5,True,True,validation,small,compact_lt60
11371,6,59.06014741295769,5,True,True,validation,medium,compact_lt60
7215,6,68.87527785610746,5,True,True,validation,large,medium_60_100
9985,6,71.29623526943426,5,True,True,validation,large,medium_60_100
7738,6,88.48824370867273,5,True,True,validation,large,medium_60_100
7181,7,46.58215596571517,6,True,True,validation,small,compact_lt60
7026,7,56.32160098232557,6,True,True,validation,small,compact_lt60
6085,7,59.04649412079662,9,True,True,validation,small,compact_lt60
5424,7,64.85453348327748,6,True,True,validation,small,medium_60_100
13321,7,69.67046450800596,6,True,True,validation,medium,medium_60_100
7758,7,72.940888005072,6,True,True,validation,medium,medium_60_100
12932,7,76.97620858913251,6,True,True,validation,medium,medium_60_100
8472,7,80.7987969479582,6,True,True,validation,large,medium_60_100
10165,7,84.54237193878674,6,True,True,validation,large,medium_60_100
13979,7,100.7564318467837,6,True,True,validation,large,large_100_150
5094,8,59.949762856122476,7,True,True,validation,small,compact_lt60
12541,8,71.42863313869904,7,True,True,validation,small,medium_60_100
10002,8,74.12971507942602,9,True,True,validation,small,medium_60_100
4354,8,77.37613855833135,8,True,True,validation,small,medium_60_100
2259,8,82.64773812132321,7,True,True,validation,medium,medium_60_100
12838,8,86.59354778183769,7,True,True,validation,medium,medium_60_100
4702,8,91.52035892172151,9,True,True,validation,medium,medium_60_100
8446,8,94.53002638487277,7,True,True,validation,large,medium_60_100
1329,8,102.29061570901881,7,True,True,validation,large,large_100_150
8288,8,127.74816727310058,7,True,True,validation,large,large_100_150
190,9,70.17418805948843,8,True,True,validation,small,medium_60_100
3083,9,83.46562690150783,9,True,True,validation,small,medium_60_100
3428,9,85.55113874665403,8,True,True,validation,small,medium_60_100
3094,9,93.28555712890704,9,True,True,validation,medium,medium_60_100
3326,9,98.60590048117717,8,True,True,validation,medium,medium_60_100
14678,9,100.68448178264417,8,True,True,validation,medium,large_100_150
14911,9,104.98601769799873,8,True,True,validation,medium,large_100_150
2674,9,115.02727015759976,9,True,True,validation,large,large_100_150
13690,9,119.68037307880427,8,True,True,validation,large,large_100_150
2421,9,177.0269210566173,8,True,True,validation,large,very_large_ge150
7885,10,82.60823284076358,10,True,True,validation,small,medium_60_100
14830,10,89.59938141152202,11,True,True,validation,small,medium_60_100
3111,10,97.0784414442641,9,True,True,validation,small,medium_60_100
15354,10,106.1519138149668,11,True,True,validation,medium,large_100_150
4233,10,110.17571011747944,9,True,True,validation,medium,large_100_150
8381,10,116.92091988137952,9,True,True,validation,medium,large_100_150
1550,10,122.62590815408394,10,True,True,validation,medium,large_100_150
1449,10,126.18959771094417,11,True,True,validation,large,large_100_150
985,10,144.7308692827656,11,True,True,validation,large,large_100_150
7844,10,153.72416872533378,9,True,True,validation,large,very_large_ge150
2626,11,45.807678165183724,11,True,True,validation,small,compact_lt60
8140,11,98.7816373009482,10,True,True,validation,small,medium_60_100
8613,11,111.23643503583178,10,True,True,validation,small,large_100_150
15112,11,112.94018545083787,10,True,True,validation,small,large_100_150
11114,11,118.08107409300862,10,True,True,validation,medium,large_100_150
7489,11,124.69593637148496,10,True,True,validation,medium,large_100_150
11124,11,134.4571520115096,11,True,True,validation,large,large_100_150
