scene,case,condition,receiver,method,true_world_azimuth_deg,true_listener_azimuth_deg,evaluation_azimuth_deg,estimated_azimuth_deg,absolute_error_deg,ambiguity,distance_m,direct_visibility,floorplan_idx,seed,artifact
geometry,geometry-030deg,direct,hrtf,binaural_hrtf_template,30.0,30.0,30.0,30.0,0.0,none (generic HRTF template),1.5,1.0,,20260752,geometry-030deg-direct-hrtf.npz
geometry,geometry-030deg,direct,linear4,srp_phat,30.0,30.0,30.0,30.0,0.0,mirror across array axis,1.5,1.0,,20260752,geometry-030deg-direct-linear4.npz
geometry,geometry-030deg,direct,circular8,srp_phat,30.0,30.0,30.0,30.0,0.0,none,1.5,1.0,,20260752,geometry-030deg-direct-circular8.npz
geometry,geometry-030deg,room,hrtf,binaural_hrtf_template,30.0,30.0,30.0,30.0,0.0,none (generic HRTF template),1.5,1.0,,20260752,geometry-030deg-room-hrtf.npz
geometry,geometry-030deg,room,linear4,srp_phat,30.0,30.0,30.0,40.0,10.0,mirror across array axis,1.5,1.0,,20260752,geometry-030deg-room-linear4.npz
geometry,geometry-030deg,room,circular8,srp_phat,30.0,30.0,30.0,23.0,7.0,none,1.5,1.0,,20260752,geometry-030deg-room-circular8.npz
geometry,geometry-105deg,direct,hrtf,binaural_hrtf_template,105.0,105.0,105.0,106.0,1.0,none (generic HRTF template),1.5,1.0,,20260827,geometry-105deg-direct-hrtf.npz
geometry,geometry-105deg,direct,linear4,srp_phat,105.0,105.0,105.0,105.0,0.0,mirror across array axis,1.5,1.0,,20260827,geometry-105deg-direct-linear4.npz
geometry,geometry-105deg,direct,circular8,srp_phat,105.0,105.0,105.0,105.0,0.0,none,1.5,1.0,,20260827,geometry-105deg-direct-circular8.npz
geometry,geometry-105deg,room,hrtf,binaural_hrtf_template,105.0,105.0,105.0,106.0,1.0,none (generic HRTF template),1.5,1.0,,20260827,geometry-105deg-room-hrtf.npz
geometry,geometry-105deg,room,linear4,srp_phat,105.0,105.0,105.0,108.0,3.0,mirror across array axis,1.5,1.0,,20260827,geometry-105deg-room-linear4.npz
geometry,geometry-105deg,room,circular8,srp_phat,105.0,105.0,105.0,111.0,6.0,none,1.5,1.0,,20260827,geometry-105deg-room-circular8.npz
geometry,geometry-230deg,direct,hrtf,binaural_hrtf_template,230.0,230.0,230.0,230.0,0.0,none (generic HRTF template),1.5,1.0,,20260952,geometry-230deg-direct-hrtf.npz
geometry,geometry-230deg,direct,linear4,srp_phat,230.0,230.0,130.0,130.0,0.0,mirror across array axis,1.5,1.0,,20260952,geometry-230deg-direct-linear4.npz
geometry,geometry-230deg,direct,circular8,srp_phat,230.0,230.0,230.0,230.0,0.0,none,1.5,1.0,,20260952,geometry-230deg-direct-circular8.npz
